Vardas              Pavarde             Galutinis (med.)  
Vardenis490         Pavardenis490       4.00              
Vardenis492         Pavardenis492       4.00              
Vardenis493         Pavardenis493       4.00              
Vardenis499         Pavardenis499       3.50              
Vardenis500         Pavardenis500       4.50              
Vardenis502         Pavardenis502       4.50              
Vardenis503         Pavardenis503       3.00              
Vardenis506         Pavardenis506       3.50              
Vardenis509         Pavardenis509       3.00              
Vardenis510         Pavardenis510       4.00              
Vardenis514         Pavardenis514       3.00              
Vardenis519         Pavardenis519       3.50              
Vardenis521         Pavardenis521       2.50              
Vardenis524         Pavardenis524       4.00              
Vardenis526         Pavardenis526       3.00              
Vardenis528         Pavardenis528       3.00              
Vardenis531         Pavardenis531       3.00              
Vardenis535         Pavardenis535       4.50              
Vardenis537         Pavardenis537       3.50              
Vardenis539         Pavardenis539       4.50              
Vardenis542         Pavardenis542       4.00              
Vardenis550         Pavardenis550       4.50              
Vardenis552         Pavardenis552       4.00              
Vardenis556         Pavardenis556       4.50              
Vardenis562         Pavardenis562       4.00              
Vardenis563         Pavardenis563       4.00              
Vardenis565         Pavardenis565       4.50              
Vardenis567         Pavardenis567       4.50              
Vardenis568         Pavardenis568       3.00              
Vardenis569         Pavardenis569       4.50              
Vardenis571         Pavardenis571       4.00              
Vardenis573         Pavardenis573       3.00              
Vardenis578         Pavardenis578       4.00              
Vardenis580         Pavardenis580       4.50              
Vardenis582         Pavardenis582       4.50              
Vardenis585         Pavardenis585       4.00              
Vardenis587         Pavardenis587       4.00              
Vardenis589         Pavardenis589       4.50              
Vardenis592         Pavardenis592       3.50              
Vardenis593         Pavardenis593       4.50              
Vardenis598         Pavardenis598       4.50              
Vardenis599         Pavardenis599       3.50              
Vardenis600         Pavardenis600       2.50              
Vardenis601         Pavardenis601       2.50              
Vardenis604         Pavardenis604       4.00              
Vardenis605         Pavardenis605       4.50              
Vardenis609         Pavardenis609       4.50              
Vardenis612         Pavardenis612       4.00              
Vardenis631         Pavardenis631       4.50              
Vardenis634         Pavardenis634       3.50              
Vardenis635         Pavardenis635       3.00              
Vardenis641         Pavardenis641       3.50              
Vardenis643         Pavardenis643       3.00              
Vardenis645         Pavardenis645       4.50              
Vardenis647         Pavardenis647       4.00              
Vardenis648         Pavardenis648       4.00              
Vardenis653         Pavardenis653       4.00              
Vardenis659         Pavardenis659       4.50              
Vardenis660         Pavardenis660       4.00              
Vardenis662         Pavardenis662       4.50              
Vardenis665         Pavardenis665       4.50              
Vardenis667         Pavardenis667       4.50              
Vardenis668         Pavardenis668       4.50              
Vardenis672         Pavardenis672       4.00              
Vardenis680         Pavardenis680       4.50              
Vardenis681         Pavardenis681       4.00              
Vardenis683         Pavardenis683       4.00              
Vardenis697         Pavardenis697       4.50              
Vardenis700         Pavardenis700       3.50              
Vardenis702         Pavardenis702       4.50              
Vardenis704         Pavardenis704       4.00              
Vardenis705         Pavardenis705       4.00              
Vardenis708         Pavardenis708       3.00              
Vardenis714         Pavardenis714       4.50              
Vardenis715         Pavardenis715       4.50              
Vardenis717         Pavardenis717       4.50              
Vardenis718         Pavardenis718       4.00              
Vardenis721         Pavardenis721       4.00              
Vardenis731         Pavardenis731       3.00              
Vardenis734         Pavardenis734       4.50              
Vardenis735         Pavardenis735       4.00              
Vardenis736         Pavardenis736       3.00              
Vardenis738         Pavardenis738       4.50              
Vardenis744         Pavardenis744       4.00              
Vardenis745         Pavardenis745       4.50              
Vardenis746         Pavardenis746       3.50              
Vardenis747         Pavardenis747       4.00              
Vardenis748         Pavardenis748       4.50              
Vardenis755         Pavardenis755       4.50              
Vardenis756         Pavardenis756       4.50              
Vardenis759         Pavardenis759       3.50              
Vardenis762         Pavardenis762       3.50              
Vardenis763         Pavardenis763       4.00              
Vardenis765         Pavardenis765       4.50              
Vardenis769         Pavardenis769       2.00              
Vardenis771         Pavardenis771       3.00              
Vardenis772         Pavardenis772       3.50              
Vardenis776         Pavardenis776       4.50              
Vardenis779         Pavardenis779       4.50              
Vardenis780         Pavardenis780       4.50              
Vardenis782         Pavardenis782       3.50              
Vardenis791         Pavardenis791       4.50              
Vardenis793         Pavardenis793       4.00              
Vardenis794         Pavardenis794       4.50              
Vardenis795         Pavardenis795       4.50              
Vardenis797         Pavardenis797       4.50              
Vardenis800         Pavardenis800       3.50              
Vardenis802         Pavardenis802       4.50              
Vardenis803         Pavardenis803       4.00              
Vardenis805         Pavardenis805       2.00              
Vardenis812         Pavardenis812       4.00              
Vardenis813         Pavardenis813       4.50              
Vardenis814         Pavardenis814       1.50              
Vardenis820         Pavardenis820       3.50              
Vardenis821         Pavardenis821       4.00              
Vardenis832         Pavardenis832       3.50              
Vardenis834         Pavardenis834       4.00              
Vardenis835         Pavardenis835       3.50              
Vardenis837         Pavardenis837       4.00              
Vardenis838         Pavardenis838       4.50              
Vardenis841         Pavardenis841       4.00              
Vardenis844         Pavardenis844       3.50              
Vardenis846         Pavardenis846       4.50              
Vardenis848         Pavardenis848       4.50              
Vardenis849         Pavardenis849       4.50              
Vardenis852         Pavardenis852       3.50              
Vardenis855         Pavardenis855       4.00              
Vardenis857         Pavardenis857       4.50              
Vardenis859         Pavardenis859       2.50              
Vardenis860         Pavardenis860       4.50              
Vardenis861         Pavardenis861       3.50              
Vardenis863         Pavardenis863       4.50              
Vardenis864         Pavardenis864       4.50              
Vardenis871         Pavardenis871       3.00              
Vardenis872         Pavardenis872       3.00              
Vardenis877         Pavardenis877       2.00              
Vardenis886         Pavardenis886       4.50              
Vardenis887         Pavardenis887       4.00              
Vardenis894         Pavardenis894       3.00              
Vardenis896         Pavardenis896       4.50              
Vardenis900         Pavardenis900       3.00              
Vardenis901         Pavardenis901       3.00              
Vardenis905         Pavardenis905       3.50              
Vardenis907         Pavardenis907       4.50              
Vardenis908         Pavardenis908       3.00              
Vardenis911         Pavardenis911       4.00              
Vardenis912         Pavardenis912       4.00              
Vardenis914         Pavardenis914       3.00              
Vardenis919         Pavardenis919       4.00              
Vardenis920         Pavardenis920       3.00              
Vardenis921         Pavardenis921       4.50              
Vardenis923         Pavardenis923       4.50              
Vardenis924         Pavardenis924       4.50              
Vardenis925         Pavardenis925       4.50              
Vardenis927         Pavardenis927       3.50              
Vardenis934         Pavardenis934       4.50              
Vardenis935         Pavardenis935       4.00              
Vardenis942         Pavardenis942       4.50              
Vardenis946         Pavardenis946       3.50              
Vardenis950         Pavardenis950       4.00              
Vardenis956         Pavardenis956       4.00              
Vardenis962         Pavardenis962       4.00              
Vardenis963         Pavardenis963       4.50              
Vardenis980         Pavardenis980       4.00              
Vardenis983         Pavardenis983       3.50              
Vardenis984         Pavardenis984       3.50              
Vardenis995         Pavardenis995       3.50              
Vardenis998         Pavardenis998       3.50              
Vardenis1000        Pavardenis1000      4.50              
Vardenis8           Pavardenis8         4.50              
Vardenis10          Pavardenis10        4.50              
Vardenis14          Pavardenis14        3.00              
Vardenis23          Pavardenis23        4.50              
Vardenis24          Pavardenis24        3.50              
Vardenis25          Pavardenis25        4.50              
Vardenis28          Pavardenis28        4.00              
Vardenis29          Pavardenis29        3.50              
Vardenis30          Pavardenis30        4.00              
Vardenis34          Pavardenis34        4.00              
Vardenis36          Pavardenis36        4.00              
Vardenis46          Pavardenis46        3.50              
Vardenis49          Pavardenis49        4.50              
Vardenis52          Pavardenis52        4.50              
Vardenis54          Pavardenis54        4.00              
Vardenis58          Pavardenis58        3.50              
Vardenis60          Pavardenis60        3.00              
Vardenis62          Pavardenis62        4.50              
Vardenis65          Pavardenis65        4.00              
Vardenis68          Pavardenis68        4.00              
Vardenis69          Pavardenis69        4.00              
Vardenis70          Pavardenis70        3.50              
Vardenis73          Pavardenis73        3.00              
Vardenis78          Pavardenis78        3.00              
Vardenis80          Pavardenis80        4.50              
Vardenis81          Pavardenis81        3.50              
Vardenis82          Pavardenis82        4.00              
Vardenis87          Pavardenis87        3.00              
Vardenis90          Pavardenis90        4.00              
Vardenis91          Pavardenis91        4.50              
Vardenis93          Pavardenis93        4.00              
Vardenis95          Pavardenis95        4.50              
Vardenis97          Pavardenis97        2.50              
Vardenis98          Pavardenis98        3.50              
Vardenis99          Pavardenis99        4.00              
Vardenis100         Pavardenis100       3.50              
Vardenis109         Pavardenis109       4.50              
Vardenis114         Pavardenis114       4.00              
Vardenis117         Pavardenis117       2.00              
Vardenis118         Pavardenis118       4.50              
Vardenis121         Pavardenis121       4.00              
Vardenis127         Pavardenis127       4.50              
Vardenis132         Pavardenis132       4.00              
Vardenis137         Pavardenis137       3.00              
Vardenis138         Pavardenis138       3.50              
Vardenis142         Pavardenis142       4.00              
Vardenis143         Pavardenis143       2.00              
Vardenis145         Pavardenis145       4.00              
Vardenis146         Pavardenis146       4.00              
Vardenis150         Pavardenis150       4.00              
Vardenis155         Pavardenis155       3.50              
Vardenis157         Pavardenis157       4.50              
Vardenis160         Pavardenis160       4.00              
Vardenis166         Pavardenis166       3.00              
Vardenis168         Pavardenis168       4.50              
Vardenis171         Pavardenis171       4.00              
Vardenis174         Pavardenis174       4.50              
Vardenis176         Pavardenis176       3.50              
Vardenis178         Pavardenis178       4.50              
Vardenis185         Pavardenis185       4.00              
Vardenis189         Pavardenis189       2.50              
Vardenis193         Pavardenis193       4.50              
Vardenis196         Pavardenis196       4.00              
Vardenis198         Pavardenis198       4.00              
Vardenis200         Pavardenis200       4.00              
Vardenis204         Pavardenis204       3.50              
Vardenis207         Pavardenis207       4.50              
Vardenis212         Pavardenis212       3.00              
Vardenis216         Pavardenis216       4.00              
Vardenis220         Pavardenis220       3.50              
Vardenis224         Pavardenis224       4.50              
Vardenis225         Pavardenis225       4.00              
Vardenis227         Pavardenis227       3.50              
Vardenis229         Pavardenis229       3.00              
Vardenis230         Pavardenis230       4.00              
Vardenis235         Pavardenis235       4.00              
Vardenis242         Pavardenis242       4.00              
Vardenis246         Pavardenis246       4.50              
Vardenis247         Pavardenis247       4.50              
Vardenis249         Pavardenis249       3.00              
Vardenis256         Pavardenis256       4.50              
Vardenis262         Pavardenis262       4.50              
Vardenis268         Pavardenis268       4.50              
Vardenis269         Pavardenis269       3.50              
Vardenis274         Pavardenis274       4.00              
Vardenis285         Pavardenis285       3.50              
Vardenis296         Pavardenis296       2.50              
Vardenis297         Pavardenis297       4.00              
Vardenis302         Pavardenis302       4.50              
Vardenis305         Pavardenis305       3.00              
Vardenis306         Pavardenis306       4.50              
Vardenis312         Pavardenis312       4.50              
Vardenis317         Pavardenis317       4.00              
Vardenis322         Pavardenis322       4.00              
Vardenis330         Pavardenis330       2.50              
Vardenis332         Pavardenis332       4.00              
Vardenis334         Pavardenis334       3.00              
Vardenis335         Pavardenis335       3.00              
Vardenis351         Pavardenis351       4.50              
Vardenis352         Pavardenis352       4.00              
Vardenis356         Pavardenis356       2.50              
Vardenis358         Pavardenis358       4.00              
Vardenis360         Pavardenis360       4.00              
Vardenis364         Pavardenis364       4.50              
Vardenis366         Pavardenis366       4.50              
Vardenis375         Pavardenis375       4.50              
Vardenis376         Pavardenis376       4.50              
Vardenis377         Pavardenis377       4.00              
Vardenis380         Pavardenis380       4.50              
Vardenis383         Pavardenis383       4.50              
Vardenis385         Pavardenis385       4.50              
Vardenis388         Pavardenis388       4.00              
Vardenis397         Pavardenis397       3.50              
Vardenis404         Pavardenis404       3.00              
Vardenis410         Pavardenis410       4.00              
Vardenis412         Pavardenis412       2.50              
Vardenis415         Pavardenis415       4.50              
Vardenis416         Pavardenis416       4.00              
Vardenis422         Pavardenis422       3.00              
Vardenis423         Pavardenis423       4.50              
Vardenis427         Pavardenis427       3.00              
Vardenis431         Pavardenis431       3.50              
Vardenis433         Pavardenis433       3.50              
Vardenis434         Pavardenis434       4.50              
Vardenis437         Pavardenis437       4.50              
Vardenis438         Pavardenis438       3.00              
Vardenis439         Pavardenis439       4.00              
Vardenis440         Pavardenis440       4.50              
Vardenis441         Pavardenis441       3.00              
Vardenis442         Pavardenis442       4.50              
Vardenis447         Pavardenis447       2.50              
Vardenis449         Pavardenis449       4.00              
Vardenis456         Pavardenis456       4.00              
Vardenis458         Pavardenis458       4.50              
Vardenis465         Pavardenis465       3.00              
Vardenis466         Pavardenis466       4.00              
Vardenis467         Pavardenis467       4.50              
Vardenis471         Pavardenis471       2.50              
Vardenis472         Pavardenis472       4.00              
Vardenis473         Pavardenis473       4.00              
Vardenis485         Pavardenis485       4.00              
Vardenis490         Pavardenis490       4.00              
Vardenis492         Pavardenis492       4.00              
Vardenis493         Pavardenis493       4.00              
Vardenis499         Pavardenis499       3.50              
Vardenis500         Pavardenis500       4.50              
Vardenis502         Pavardenis502       4.50              
Vardenis503         Pavardenis503       3.00              
Vardenis506         Pavardenis506       3.50              
Vardenis509         Pavardenis509       3.00              
Vardenis510         Pavardenis510       4.00              
Vardenis514         Pavardenis514       3.00              
Vardenis519         Pavardenis519       3.50              
Vardenis521         Pavardenis521       2.50              
Vardenis524         Pavardenis524       4.00              
Vardenis526         Pavardenis526       3.00              
Vardenis528         Pavardenis528       3.00              
Vardenis531         Pavardenis531       3.00              
Vardenis535         Pavardenis535       4.50              
Vardenis537         Pavardenis537       3.50              
Vardenis539         Pavardenis539       4.50              
Vardenis542         Pavardenis542       4.00              
Vardenis550         Pavardenis550       4.50              
Vardenis552         Pavardenis552       4.00              
Vardenis556         Pavardenis556       4.50              
Vardenis562         Pavardenis562       4.00              
Vardenis563         Pavardenis563       4.00              
Vardenis565         Pavardenis565       4.50              
Vardenis567         Pavardenis567       4.50              
Vardenis568         Pavardenis568       3.00              
Vardenis569         Pavardenis569       4.50              
Vardenis571         Pavardenis571       4.00              
Vardenis573         Pavardenis573       3.00              
Vardenis578         Pavardenis578       4.00              
Vardenis580         Pavardenis580       4.50              
Vardenis582         Pavardenis582       4.50              
Vardenis585         Pavardenis585       4.00              
Vardenis587         Pavardenis587       4.00              
Vardenis589         Pavardenis589       4.50              
Vardenis592         Pavardenis592       3.50              
Vardenis593         Pavardenis593       4.50              
Vardenis598         Pavardenis598       4.50              
Vardenis599         Pavardenis599       3.50              
Vardenis600         Pavardenis600       2.50              
Vardenis601         Pavardenis601       2.50              
Vardenis604         Pavardenis604       4.00              
Vardenis605         Pavardenis605       4.50              
Vardenis609         Pavardenis609       4.50              
Vardenis612         Pavardenis612       4.00              
Vardenis631         Pavardenis631       4.50              
Vardenis634         Pavardenis634       3.50              
Vardenis635         Pavardenis635       3.00              
Vardenis641         Pavardenis641       3.50              
Vardenis643         Pavardenis643       3.00              
Vardenis645         Pavardenis645       4.50              
Vardenis647         Pavardenis647       4.00              
Vardenis648         Pavardenis648       4.00              
Vardenis653         Pavardenis653       4.00              
Vardenis659         Pavardenis659       4.50              
Vardenis660         Pavardenis660       4.00              
Vardenis662         Pavardenis662       4.50              
Vardenis665         Pavardenis665       4.50              
Vardenis667         Pavardenis667       4.50              
Vardenis668         Pavardenis668       4.50              
Vardenis672         Pavardenis672       4.00              
Vardenis680         Pavardenis680       4.50              
Vardenis681         Pavardenis681       4.00              
Vardenis683         Pavardenis683       4.00              
Vardenis697         Pavardenis697       4.50              
Vardenis700         Pavardenis700       3.50              
Vardenis702         Pavardenis702       4.50              
Vardenis704         Pavardenis704       4.00              
Vardenis705         Pavardenis705       4.00              
Vardenis708         Pavardenis708       3.00              
Vardenis714         Pavardenis714       4.50              
Vardenis715         Pavardenis715       4.50              
Vardenis717         Pavardenis717       4.50              
Vardenis718         Pavardenis718       4.00              
Vardenis721         Pavardenis721       4.00              
Vardenis731         Pavardenis731       3.00              
Vardenis734         Pavardenis734       4.50              
Vardenis735         Pavardenis735       4.00              
Vardenis736         Pavardenis736       3.00              
Vardenis738         Pavardenis738       4.50              
Vardenis744         Pavardenis744       4.00              
Vardenis745         Pavardenis745       4.50              
Vardenis746         Pavardenis746       3.50              
Vardenis747         Pavardenis747       4.00              
Vardenis748         Pavardenis748       4.50              
Vardenis755         Pavardenis755       4.50              
Vardenis756         Pavardenis756       4.50              
Vardenis759         Pavardenis759       3.50              
Vardenis762         Pavardenis762       3.50              
Vardenis763         Pavardenis763       4.00              
Vardenis765         Pavardenis765       4.50              
Vardenis769         Pavardenis769       2.00              
Vardenis771         Pavardenis771       3.00              
Vardenis772         Pavardenis772       3.50              
Vardenis776         Pavardenis776       4.50              
Vardenis779         Pavardenis779       4.50              
Vardenis780         Pavardenis780       4.50              
Vardenis782         Pavardenis782       3.50              
Vardenis791         Pavardenis791       4.50              
Vardenis793         Pavardenis793       4.00              
Vardenis794         Pavardenis794       4.50              
Vardenis795         Pavardenis795       4.50              
Vardenis797         Pavardenis797       4.50              
Vardenis800         Pavardenis800       3.50              
Vardenis802         Pavardenis802       4.50              
Vardenis803         Pavardenis803       4.00              
Vardenis805         Pavardenis805       2.00              
Vardenis812         Pavardenis812       4.00              
Vardenis813         Pavardenis813       4.50              
Vardenis814         Pavardenis814       1.50              
Vardenis820         Pavardenis820       3.50              
Vardenis821         Pavardenis821       4.00              
Vardenis832         Pavardenis832       3.50              
Vardenis834         Pavardenis834       4.00              
Vardenis835         Pavardenis835       3.50              
Vardenis837         Pavardenis837       4.00              
Vardenis838         Pavardenis838       4.50              
Vardenis841         Pavardenis841       4.00              
Vardenis844         Pavardenis844       3.50              
Vardenis846         Pavardenis846       4.50              
Vardenis848         Pavardenis848       4.50              
Vardenis849         Pavardenis849       4.50              
Vardenis852         Pavardenis852       3.50              
Vardenis855         Pavardenis855       4.00              
Vardenis857         Pavardenis857       4.50              
Vardenis859         Pavardenis859       2.50              
Vardenis860         Pavardenis860       4.50              
Vardenis861         Pavardenis861       3.50              
Vardenis863         Pavardenis863       4.50              
Vardenis864         Pavardenis864       4.50              
Vardenis871         Pavardenis871       3.00              
Vardenis872         Pavardenis872       3.00              
Vardenis877         Pavardenis877       2.00              
Vardenis886         Pavardenis886       4.50              
Vardenis887         Pavardenis887       4.00              
Vardenis894         Pavardenis894       3.00              
Vardenis896         Pavardenis896       4.50              
Vardenis900         Pavardenis900       3.00              
Vardenis901         Pavardenis901       3.00              
Vardenis905         Pavardenis905       3.50              
Vardenis907         Pavardenis907       4.50              
Vardenis908         Pavardenis908       3.00              
Vardenis911         Pavardenis911       4.00              
Vardenis912         Pavardenis912       4.00              
Vardenis914         Pavardenis914       3.00              
Vardenis919         Pavardenis919       4.00              
Vardenis920         Pavardenis920       3.00              
Vardenis921         Pavardenis921       4.50              
Vardenis923         Pavardenis923       4.50              
Vardenis924         Pavardenis924       4.50              
Vardenis925         Pavardenis925       4.50              
Vardenis927         Pavardenis927       3.50              
Vardenis934         Pavardenis934       4.50              
Vardenis935         Pavardenis935       4.00              
Vardenis942         Pavardenis942       4.50              
Vardenis946         Pavardenis946       3.50              
Vardenis950         Pavardenis950       4.00              
Vardenis956         Pavardenis956       4.00              
Vardenis962         Pavardenis962       4.00              
Vardenis963         Pavardenis963       4.50              
Vardenis980         Pavardenis980       4.00              
Vardenis983         Pavardenis983       3.50              
Vardenis984         Pavardenis984       3.50              
Vardenis995         Pavardenis995       3.50              
Vardenis998         Pavardenis998       3.50              
Vardenis1000        Pavardenis1000      4.50              
Vardenis2           Pavardenis2         4.00              
Vardenis7           Pavardenis7         3.00              
Vardenis8           Pavardenis8         4.00              
Vardenis10          Pavardenis10        4.00              
Vardenis11          Pavardenis11        2.50              
Vardenis12          Pavardenis12        4.50              
Vardenis19          Pavardenis19        3.50              
Vardenis20          Pavardenis20        4.00              
Vardenis32          Pavardenis32        3.50              
Vardenis35          Pavardenis35        4.50              
Vardenis37          Pavardenis37        3.50              
Vardenis42          Pavardenis42        4.00              
Vardenis43          Pavardenis43        4.50              
Vardenis47          Pavardenis47        4.50              
Vardenis50          Pavardenis50        4.50              
Vardenis54          Pavardenis54        4.00              
Vardenis55          Pavardenis55        4.50              
Vardenis57          Pavardenis57        3.50              
Vardenis58          Pavardenis58        4.00              
Vardenis62          Pavardenis62        4.50              
Vardenis64          Pavardenis64        4.50              
Vardenis71          Pavardenis71        4.50              
Vardenis72          Pavardenis72        4.50              
Vardenis81          Pavardenis81        4.50              
Vardenis82          Pavardenis82        4.50              
Vardenis83          Pavardenis83        4.50              
Vardenis86          Pavardenis86        4.00              
Vardenis92          Pavardenis92        2.50              
Vardenis94          Pavardenis94        2.00              
Vardenis95          Pavardenis95        4.50              
Vardenis97          Pavardenis97        4.00              
Vardenis98          Pavardenis98        4.00              
Vardenis109         Pavardenis109       2.50              
Vardenis114         Pavardenis114       4.00              
Vardenis115         Pavardenis115       4.50              
Vardenis116         Pavardenis116       1.50              
Vardenis117         Pavardenis117       3.00              
Vardenis121         Pavardenis121       4.00              
Vardenis126         Pavardenis126       3.50              
Vardenis128         Pavardenis128       4.50              
Vardenis129         Pavardenis129       3.00              
Vardenis135         Pavardenis135       4.00              
Vardenis136         Pavardenis136       4.00              
Vardenis143         Pavardenis143       2.50              
Vardenis144         Pavardenis144       3.50              
Vardenis147         Pavardenis147       4.50              
Vardenis162         Pavardenis162       3.50              
Vardenis170         Pavardenis170       4.50              
Vardenis173         Pavardenis173       4.50              
Vardenis180         Pavardenis180       4.00              
Vardenis186         Pavardenis186       3.50              
Vardenis195         Pavardenis195       4.00              
Vardenis197         Pavardenis197       3.00              
Vardenis204         Pavardenis204       2.00              
Vardenis209         Pavardenis209       3.00              
Vardenis211         Pavardenis211       4.50              
Vardenis217         Pavardenis217       4.50              
Vardenis218         Pavardenis218       3.00              
Vardenis220         Pavardenis220       3.00              
Vardenis221         Pavardenis221       4.50              
Vardenis227         Pavardenis227       4.00              
Vardenis232         Pavardenis232       4.50              
Vardenis237         Pavardenis237       3.50              
Vardenis238         Pavardenis238       4.50              
Vardenis242         Pavardenis242       4.00              
Vardenis246         Pavardenis246       3.00              
Vardenis250         Pavardenis250       3.50              
Vardenis251         Pavardenis251       4.00              
Vardenis252         Pavardenis252       4.50              
Vardenis254         Pavardenis254       4.00              
Vardenis255         Pavardenis255       3.50              
Vardenis256         Pavardenis256       4.00              
Vardenis259         Pavardenis259       4.50              
Vardenis260         Pavardenis260       4.00              
Vardenis265         Pavardenis265       4.50              
Vardenis270         Pavardenis270       4.00              
