Vardas              Pavarde             Galutinis (vid.)  
Vardenis158         Pavardenis158       3.44              
Vardenis160         Pavardenis160       3.64              
Vardenis161         Pavardenis161       3.92              
Vardenis162         Pavardenis162       4.36              
Vardenis163         Pavardenis163       3.36              
Vardenis164         Pavardenis164       4.64              
Vardenis165         Pavardenis165       3.08              
Vardenis167         Pavardenis167       4.56              
Vardenis168         Pavardenis168       2.72              
Vardenis171         Pavardenis171       3.88              
Vardenis172         Pavardenis172       2.76              
Vardenis173         Pavardenis173       3.12              
Vardenis178         Pavardenis178       4.08              
Vardenis181         Pavardenis181       3.00              
Vardenis182         Pavardenis182       3.72              
Vardenis183         Pavardenis183       3.56              
Vardenis187         Pavardenis187       3.60              
Vardenis196         Pavardenis196       3.80              
Vardenis197         Pavardenis197       2.68              
Vardenis198         Pavardenis198       4.76              
Vardenis200         Pavardenis200       4.56              
Vardenis201         Pavardenis201       4.60              
Vardenis202         Pavardenis202       2.48              
Vardenis203         Pavardenis203       3.56              
Vardenis205         Pavardenis205       4.52              
Vardenis206         Pavardenis206       4.52              
Vardenis212         Pavardenis212       3.84              
Vardenis213         Pavardenis213       3.80              
Vardenis214         Pavardenis214       4.52              
Vardenis215         Pavardenis215       4.08              
Vardenis216         Pavardenis216       4.24              
Vardenis217         Pavardenis217       4.20              
Vardenis220         Pavardenis220       3.84              
Vardenis221         Pavardenis221       4.56              
Vardenis222         Pavardenis222       2.76              
Vardenis223         Pavardenis223       3.12              
Vardenis224         Pavardenis224       2.68              
Vardenis225         Pavardenis225       4.76              
Vardenis226         Pavardenis226       3.08              
Vardenis233         Pavardenis233       4.16              
Vardenis235         Pavardenis235       3.92              
Vardenis236         Pavardenis236       3.60              
Vardenis237         Pavardenis237       3.44              
Vardenis239         Pavardenis239       3.28              
Vardenis242         Pavardenis242       3.24              
Vardenis244         Pavardenis244       4.36              
Vardenis245         Pavardenis245       4.12              
Vardenis251         Pavardenis251       3.80              
Vardenis254         Pavardenis254       4.32              
Vardenis255         Pavardenis255       4.32              
Vardenis260         Pavardenis260       3.40              
Vardenis264         Pavardenis264       4.60              
Vardenis265         Pavardenis265       2.68              
Vardenis266         Pavardenis266       4.92              
Vardenis267         Pavardenis267       4.72              
Vardenis269         Pavardenis269       3.40              
Vardenis270         Pavardenis270       3.20              
Vardenis277         Pavardenis277       4.48              
Vardenis279         Pavardenis279       2.68              
Vardenis282         Pavardenis282       4.60              
Vardenis283         Pavardenis283       3.72              
Vardenis284         Pavardenis284       3.08              
Vardenis286         Pavardenis286       2.76              
Vardenis289         Pavardenis289       2.92              
Vardenis290         Pavardenis290       4.72              
Vardenis292         Pavardenis292       4.68              
Vardenis297         Pavardenis297       4.92              
Vardenis302         Pavardenis302       2.36              
Vardenis303         Pavardenis303       2.52              
Vardenis307         Pavardenis307       2.44              
Vardenis308         Pavardenis308       2.52              
Vardenis313         Pavardenis313       3.72              
Vardenis314         Pavardenis314       3.48              
Vardenis315         Pavardenis315       3.32              
Vardenis317         Pavardenis317       3.52              
Vardenis318         Pavardenis318       3.00              
Vardenis320         Pavardenis320       3.60              
Vardenis322         Pavardenis322       4.84              
Vardenis323         Pavardenis323       4.24              
Vardenis324         Pavardenis324       4.04              
Vardenis325         Pavardenis325       4.16              
Vardenis329         Pavardenis329       3.60              
Vardenis332         Pavardenis332       3.32              
Vardenis339         Pavardenis339       4.44              
Vardenis343         Pavardenis343       4.40              
Vardenis349         Pavardenis349       2.84              
Vardenis357         Pavardenis357       3.36              
Vardenis360         Pavardenis360       4.48              
Vardenis362         Pavardenis362       4.24              
Vardenis364         Pavardenis364       2.88              
Vardenis369         Pavardenis369       2.92              
Vardenis370         Pavardenis370       4.16              
Vardenis371         Pavardenis371       4.44              
Vardenis376         Pavardenis376       4.24              
Vardenis379         Pavardenis379       2.20              
Vardenis383         Pavardenis383       4.00              
Vardenis387         Pavardenis387       2.24              
Vardenis397         Pavardenis397       4.16              
Vardenis403         Pavardenis403       4.12              
Vardenis406         Pavardenis406       3.40              
Vardenis408         Pavardenis408       4.76              
Vardenis411         Pavardenis411       4.52              
Vardenis413         Pavardenis413       4.36              
Vardenis414         Pavardenis414       4.52              
Vardenis419         Pavardenis419       3.44              
Vardenis420         Pavardenis420       4.24              
Vardenis422         Pavardenis422       4.16              
Vardenis424         Pavardenis424       4.64              
Vardenis429         Pavardenis429       3.60              
Vardenis433         Pavardenis433       2.44              
Vardenis434         Pavardenis434       3.56              
Vardenis437         Pavardenis437       3.36              
Vardenis442         Pavardenis442       3.32              
Vardenis444         Pavardenis444       3.80              
Vardenis445         Pavardenis445       4.64              
Vardenis448         Pavardenis448       3.32              
Vardenis449         Pavardenis449       3.44              
Vardenis451         Pavardenis451       2.44              
Vardenis452         Pavardenis452       4.16              
Vardenis453         Pavardenis453       3.20              
Vardenis457         Pavardenis457       3.16              
Vardenis460         Pavardenis460       2.96              
Vardenis462         Pavardenis462       4.60              
Vardenis464         Pavardenis464       4.28              
Vardenis466         Pavardenis466       3.08              
Vardenis467         Pavardenis467       4.36              
Vardenis471         Pavardenis471       3.88              
Vardenis476         Pavardenis476       2.68              
Vardenis482         Pavardenis482       4.36              
Vardenis486         Pavardenis486       3.04              
Vardenis487         Pavardenis487       4.48              
Vardenis488         Pavardenis488       4.76              
Vardenis492         Pavardenis492       4.24              
Vardenis495         Pavardenis495       3.68              
Vardenis499         Pavardenis499       3.32              
Vardenis503         Pavardenis503       4.40              
Vardenis504         Pavardenis504       2.56              
Vardenis505         Pavardenis505       4.28              
Vardenis506         Pavardenis506       4.72              
Vardenis508         Pavardenis508       4.24              
Vardenis509         Pavardenis509       3.60              
Vardenis512         Pavardenis512       3.24              
Vardenis516         Pavardenis516       4.68              
Vardenis518         Pavardenis518       4.92              
Vardenis520         Pavardenis520       3.96              
Vardenis521         Pavardenis521       4.76              
Vardenis522         Pavardenis522       4.24              
Vardenis524         Pavardenis524       4.00              
Vardenis525         Pavardenis525       4.84              
Vardenis526         Pavardenis526       4.24              
Vardenis527         Pavardenis527       4.44              
Vardenis530         Pavardenis530       4.76              
Vardenis531         Pavardenis531       4.60              
Vardenis532         Pavardenis532       3.28              
Vardenis533         Pavardenis533       2.44              
Vardenis534         Pavardenis534       4.00              
Vardenis535         Pavardenis535       3.88              
Vardenis537         Pavardenis537       4.92              
Vardenis538         Pavardenis538       4.52              
Vardenis539         Pavardenis539       2.68              
Vardenis540         Pavardenis540       4.28              
Vardenis542         Pavardenis542       3.84              
Vardenis549         Pavardenis549       2.88              
Vardenis550         Pavardenis550       4.08              
Vardenis551         Pavardenis551       3.68              
Vardenis559         Pavardenis559       2.80              
Vardenis560         Pavardenis560       3.20              
Vardenis561         Pavardenis561       3.36              
Vardenis564         Pavardenis564       3.44              
Vardenis566         Pavardenis566       4.08              
Vardenis571         Pavardenis571       3.60              
Vardenis572         Pavardenis572       2.76              
Vardenis573         Pavardenis573       4.72              
Vardenis578         Pavardenis578       3.52              
Vardenis579         Pavardenis579       3.08              
Vardenis583         Pavardenis583       4.80              
Vardenis587         Pavardenis587       4.60              
Vardenis588         Pavardenis588       4.08              
Vardenis590         Pavardenis590       3.92              
Vardenis592         Pavardenis592       3.28              
Vardenis594         Pavardenis594       2.88              
Vardenis595         Pavardenis595       2.92              
Vardenis597         Pavardenis597       2.52              
Vardenis599         Pavardenis599       3.88              
Vardenis600         Pavardenis600       3.60              
Vardenis608         Pavardenis608       3.48              
Vardenis612         Pavardenis612       3.72              
Vardenis615         Pavardenis615       4.20              
Vardenis616         Pavardenis616       4.48              
Vardenis617         Pavardenis617       4.04              
Vardenis618         Pavardenis618       3.16              
Vardenis620         Pavardenis620       3.20              
Vardenis622         Pavardenis622       4.48              
Vardenis625         Pavardenis625       4.60              
Vardenis626         Pavardenis626       4.16              
Vardenis631         Pavardenis631       3.40              
Vardenis632         Pavardenis632       3.44              
Vardenis635         Pavardenis635       2.64              
Vardenis636         Pavardenis636       3.56              
Vardenis639         Pavardenis639       4.60              
Vardenis640         Pavardenis640       3.88              
Vardenis641         Pavardenis641       3.08              
Vardenis644         Pavardenis644       4.76              
Vardenis647         Pavardenis647       3.80              
Vardenis648         Pavardenis648       3.24              
Vardenis649         Pavardenis649       3.16              
Vardenis650         Pavardenis650       2.68              
Vardenis656         Pavardenis656       3.76              
Vardenis661         Pavardenis661       4.84              
Vardenis663         Pavardenis663       2.72              
Vardenis666         Pavardenis666       4.00              
Vardenis667         Pavardenis667       2.24              
Vardenis668         Pavardenis668       3.32              
Vardenis671         Pavardenis671       3.08              
Vardenis672         Pavardenis672       2.68              
Vardenis674         Pavardenis674       2.52              
Vardenis678         Pavardenis678       3.40              
Vardenis679         Pavardenis679       2.40              
Vardenis680         Pavardenis680       3.28              
Vardenis681         Pavardenis681       4.44              
Vardenis687         Pavardenis687       3.12              
Vardenis692         Pavardenis692       3.84              
Vardenis693         Pavardenis693       2.92              
Vardenis694         Pavardenis694       4.76              
Vardenis697         Pavardenis697       3.12              
Vardenis701         Pavardenis701       2.60              
Vardenis706         Pavardenis706       2.88              
Vardenis707         Pavardenis707       2.72              
Vardenis710         Pavardenis710       3.88              
Vardenis712         Pavardenis712       3.92              
Vardenis716         Pavardenis716       2.48              
Vardenis725         Pavardenis725       4.08              
Vardenis729         Pavardenis729       4.08              
Vardenis731         Pavardenis731       3.72              
Vardenis733         Pavardenis733       4.40              
Vardenis741         Pavardenis741       4.40              
Vardenis742         Pavardenis742       3.20              
Vardenis749         Pavardenis749       3.72              
Vardenis750         Pavardenis750       2.72              
Vardenis757         Pavardenis757       3.60              
Vardenis759         Pavardenis759       3.72              
Vardenis761         Pavardenis761       4.04              
Vardenis762         Pavardenis762       3.60              
Vardenis764         Pavardenis764       3.36              
Vardenis766         Pavardenis766       2.96              
Vardenis767         Pavardenis767       4.20              
Vardenis770         Pavardenis770       2.60              
Vardenis771         Pavardenis771       3.60              
Vardenis772         Pavardenis772       4.48              
Vardenis784         Pavardenis784       3.68              
Vardenis786         Pavardenis786       4.80              
Vardenis787         Pavardenis787       4.68              
Vardenis792         Pavardenis792       3.08              
Vardenis793         Pavardenis793       2.88              
Vardenis799         Pavardenis799       2.72              
Vardenis803         Pavardenis803       2.64              
Vardenis807         Pavardenis807       3.24              
Vardenis808         Pavardenis808       4.12              
Vardenis809         Pavardenis809       3.52              
Vardenis813         Pavardenis813       2.64              
Vardenis815         Pavardenis815       4.20              
Vardenis816         Pavardenis816       4.68              
Vardenis817         Pavardenis817       3.96              
Vardenis818         Pavardenis818       3.88              
Vardenis819         Pavardenis819       4.20              
Vardenis823         Pavardenis823       4.88              
Vardenis825         Pavardenis825       3.64              
Vardenis829         Pavardenis829       4.92              
Vardenis831         Pavardenis831       3.16              
Vardenis832         Pavardenis832       3.68              
Vardenis834         Pavardenis834       3.48              
Vardenis837         Pavardenis837       3.56              
Vardenis839         Pavardenis839       4.48              
Vardenis842         Pavardenis842       3.56              
Vardenis846         Pavardenis846       3.24              
Vardenis847         Pavardenis847       4.12              
Vardenis854         Pavardenis854       4.12              
Vardenis857         Pavardenis857       3.32              
Vardenis860         Pavardenis860       4.12              
Vardenis864         Pavardenis864       2.96              
Vardenis866         Pavardenis866       4.48              
Vardenis871         Pavardenis871       3.88              
Vardenis872         Pavardenis872       4.92              
Vardenis873         Pavardenis873       4.76              
Vardenis874         Pavardenis874       3.44              
Vardenis876         Pavardenis876       3.92              
Vardenis877         Pavardenis877       3.52              
Vardenis879         Pavardenis879       4.68              
Vardenis880         Pavardenis880       4.68              
Vardenis882         Pavardenis882       4.28              
Vardenis884         Pavardenis884       3.08              
Vardenis886         Pavardenis886       4.76              
Vardenis887         Pavardenis887       2.36              
Vardenis891         Pavardenis891       4.32              
Vardenis896         Pavardenis896       3.76              
Vardenis899         Pavardenis899       3.20              
Vardenis901         Pavardenis901       3.04              
Vardenis902         Pavardenis902       4.76              
Vardenis903         Pavardenis903       4.04              
Vardenis905         Pavardenis905       4.72              
Vardenis906         Pavardenis906       4.32              
Vardenis908         Pavardenis908       3.76              
Vardenis909         Pavardenis909       3.40              
Vardenis912         Pavardenis912       4.48              
Vardenis916         Pavardenis916       4.48              
Vardenis921         Pavardenis921       2.84              
Vardenis922         Pavardenis922       3.36              
Vardenis924         Pavardenis924       3.48              
Vardenis927         Pavardenis927       3.56              
Vardenis928         Pavardenis928       3.64              
Vardenis929         Pavardenis929       3.96              
Vardenis931         Pavardenis931       3.44              
Vardenis932         Pavardenis932       2.20              
Vardenis933         Pavardenis933       3.52              
Vardenis938         Pavardenis938       4.20              
Vardenis941         Pavardenis941       2.64              
Vardenis942         Pavardenis942       3.76              
Vardenis950         Pavardenis950       4.52              
Vardenis952         Pavardenis952       3.44              
Vardenis953         Pavardenis953       4.48              
Vardenis957         Pavardenis957       4.12              
Vardenis959         Pavardenis959       3.16              
Vardenis966         Pavardenis966       4.36              
Vardenis970         Pavardenis970       4.08              
Vardenis973         Pavardenis973       4.56              
Vardenis975         Pavardenis975       2.84              
Vardenis976         Pavardenis976       4.76              
Vardenis977         Pavardenis977       4.24              
Vardenis978         Pavardenis978       2.88              
Vardenis979         Pavardenis979       3.24              
Vardenis980         Pavardenis980       3.04              
Vardenis981         Pavardenis981       4.08              
Vardenis983         Pavardenis983       2.56              
Vardenis984         Pavardenis984       3.48              
Vardenis985         Pavardenis985       3.60              
Vardenis986         Pavardenis986       4.92              
Vardenis990         Pavardenis990       3.80              
Vardenis991         Pavardenis991       2.76              
Vardenis993         Pavardenis993       3.72              
Vardenis994         Pavardenis994       3.08              
Vardenis995         Pavardenis995       3.72              
Vardenis996         Pavardenis996       2.96              
Vardenis1000        Pavardenis1000      2.40              
Vardenis6           Pavardenis6         2.64              
Vardenis11          Pavardenis11        4.24              
Vardenis14          Pavardenis14        3.24              
Vardenis15          Pavardenis15        3.48              
Vardenis17          Pavardenis17        3.28              
Vardenis18          Pavardenis18        4.92              
Vardenis20          Pavardenis20        4.76              
Vardenis21          Pavardenis21        4.00              
Vardenis25          Pavardenis25        4.96              
Vardenis27          Pavardenis27        2.76              
Vardenis29          Pavardenis29        4.92              
Vardenis30          Pavardenis30        2.28              
Vardenis33          Pavardenis33        3.12              
Vardenis36          Pavardenis36        4.68              
Vardenis39          Pavardenis39        2.80              
Vardenis40          Pavardenis40        3.04              
Vardenis41          Pavardenis41        4.60              
Vardenis45          Pavardenis45        3.68              
Vardenis53          Pavardenis53        4.60              
Vardenis57          Pavardenis57        3.56              
Vardenis60          Pavardenis60        2.88              
Vardenis62          Pavardenis62        3.64              
Vardenis64          Pavardenis64        2.92              
Vardenis66          Pavardenis66        3.80              
Vardenis68          Pavardenis68        4.20              
Vardenis69          Pavardenis69        4.44              
Vardenis71          Pavardenis71        4.00              
Vardenis73          Pavardenis73        2.56              
Vardenis75          Pavardenis75        3.96              
Vardenis81          Pavardenis81        3.44              
Vardenis85          Pavardenis85        4.04              
Vardenis86          Pavardenis86        3.64              
Vardenis88          Pavardenis88        4.16              
Vardenis90          Pavardenis90        4.88              
Vardenis91          Pavardenis91        3.52              
Vardenis94          Pavardenis94        3.28              
Vardenis100         Pavardenis100       2.68              
Vardenis102         Pavardenis102       3.32              
Vardenis107         Pavardenis107       3.28              
Vardenis109         Pavardenis109       4.72              
Vardenis112         Pavardenis112       3.96              
Vardenis114         Pavardenis114       4.32              
Vardenis115         Pavardenis115       3.32              
Vardenis119         Pavardenis119       3.28              
Vardenis120         Pavardenis120       3.20              
Vardenis124         Pavardenis124       3.04              
Vardenis128         Pavardenis128       4.60              
Vardenis129         Pavardenis129       4.04              
Vardenis130         Pavardenis130       4.12              
Vardenis132         Pavardenis132       4.56              
Vardenis135         Pavardenis135       4.00              
Vardenis138         Pavardenis138       4.24              
Vardenis139         Pavardenis139       3.68              
Vardenis140         Pavardenis140       3.72              
Vardenis142         Pavardenis142       2.84              
Vardenis143         Pavardenis143       2.84              
Vardenis147         Pavardenis147       2.56              
Vardenis151         Pavardenis151       3.20              
Vardenis153         Pavardenis153       4.44              
Vardenis156         Pavardenis156       4.44              
Vardenis158         Pavardenis158       3.44              
Vardenis160         Pavardenis160       3.64              
Vardenis161         Pavardenis161       3.92              
Vardenis162         Pavardenis162       4.36              
Vardenis163         Pavardenis163       3.36              
Vardenis164         Pavardenis164       4.64              
Vardenis165         Pavardenis165       3.08              
Vardenis167         Pavardenis167       4.56              
Vardenis168         Pavardenis168       2.72              
Vardenis171         Pavardenis171       3.88              
Vardenis172         Pavardenis172       2.76              
Vardenis173         Pavardenis173       3.12              
Vardenis178         Pavardenis178       4.08              
Vardenis181         Pavardenis181       3.00              
Vardenis182         Pavardenis182       3.72              
Vardenis183         Pavardenis183       3.56              
Vardenis187         Pavardenis187       3.60              
Vardenis196         Pavardenis196       3.80              
Vardenis197         Pavardenis197       2.68              
Vardenis198         Pavardenis198       4.76              
Vardenis200         Pavardenis200       4.56              
Vardenis201         Pavardenis201       4.60              
Vardenis202         Pavardenis202       2.48              
Vardenis203         Pavardenis203       3.56              
Vardenis205         Pavardenis205       4.52              
Vardenis206         Pavardenis206       4.52              
Vardenis212         Pavardenis212       3.84              
Vardenis213         Pavardenis213       3.80              
Vardenis214         Pavardenis214       4.52              
Vardenis215         Pavardenis215       4.08              
Vardenis216         Pavardenis216       4.24              
Vardenis217         Pavardenis217       4.20              
Vardenis220         Pavardenis220       3.84              
Vardenis221         Pavardenis221       4.56              
Vardenis222         Pavardenis222       2.76              
Vardenis223         Pavardenis223       3.12              
Vardenis224         Pavardenis224       2.68              
Vardenis225         Pavardenis225       4.76              
Vardenis226         Pavardenis226       3.08              
Vardenis233         Pavardenis233       4.16              
Vardenis235         Pavardenis235       3.92              
Vardenis236         Pavardenis236       3.60              
Vardenis237         Pavardenis237       3.44              
Vardenis239         Pavardenis239       3.28              
Vardenis242         Pavardenis242       3.24              
Vardenis244         Pavardenis244       4.36              
Vardenis245         Pavardenis245       4.12              
Vardenis251         Pavardenis251       3.80              
Vardenis254         Pavardenis254       4.32              
Vardenis255         Pavardenis255       4.32              
Vardenis260         Pavardenis260       3.40              
Vardenis264         Pavardenis264       4.60              
Vardenis265         Pavardenis265       2.68              
Vardenis266         Pavardenis266       4.92              
Vardenis267         Pavardenis267       4.72              
Vardenis269         Pavardenis269       3.40              
Vardenis270         Pavardenis270       3.20              
Vardenis277         Pavardenis277       4.48              
Vardenis279         Pavardenis279       2.68              
Vardenis282         Pavardenis282       4.60              
Vardenis283         Pavardenis283       3.72              
Vardenis284         Pavardenis284       3.08              
Vardenis286         Pavardenis286       2.76              
Vardenis289         Pavardenis289       2.92              
Vardenis290         Pavardenis290       4.72              
Vardenis292         Pavardenis292       4.68              
Vardenis297         Pavardenis297       4.92              
Vardenis302         Pavardenis302       2.36              
Vardenis303         Pavardenis303       2.52              
Vardenis307         Pavardenis307       2.44              
Vardenis308         Pavardenis308       2.52              
Vardenis313         Pavardenis313       3.72              
Vardenis314         Pavardenis314       3.48              
Vardenis315         Pavardenis315       3.32              
Vardenis317         Pavardenis317       3.52              
Vardenis318         Pavardenis318       3.00              
Vardenis320         Pavardenis320       3.60              
Vardenis322         Pavardenis322       4.84              
Vardenis323         Pavardenis323       4.24              
Vardenis324         Pavardenis324       4.04              
Vardenis325         Pavardenis325       4.16              
Vardenis329         Pavardenis329       3.60              
Vardenis332         Pavardenis332       3.32              
Vardenis339         Pavardenis339       4.44              
Vardenis343         Pavardenis343       4.40              
Vardenis349         Pavardenis349       2.84              
Vardenis357         Pavardenis357       3.36              
Vardenis360         Pavardenis360       4.48              
Vardenis362         Pavardenis362       4.24              
Vardenis364         Pavardenis364       2.88              
Vardenis369         Pavardenis369       2.92              
Vardenis370         Pavardenis370       4.16              
Vardenis371         Pavardenis371       4.44              
Vardenis376         Pavardenis376       4.24              
Vardenis379         Pavardenis379       2.20              
Vardenis383         Pavardenis383       4.00              
Vardenis387         Pavardenis387       2.24              
Vardenis397         Pavardenis397       4.16              
Vardenis403         Pavardenis403       4.12              
Vardenis406         Pavardenis406       3.40              
Vardenis408         Pavardenis408       4.76              
Vardenis411         Pavardenis411       4.52              
Vardenis413         Pavardenis413       4.36              
Vardenis414         Pavardenis414       4.52              
Vardenis419         Pavardenis419       3.44              
Vardenis420         Pavardenis420       4.24              
Vardenis422         Pavardenis422       4.16              
Vardenis424         Pavardenis424       4.64              
Vardenis429         Pavardenis429       3.60              
Vardenis433         Pavardenis433       2.44              
Vardenis434         Pavardenis434       3.56              
Vardenis437         Pavardenis437       3.36              
Vardenis442         Pavardenis442       3.32              
Vardenis444         Pavardenis444       3.80              
Vardenis445         Pavardenis445       4.64              
Vardenis448         Pavardenis448       3.32              
Vardenis449         Pavardenis449       3.44              
Vardenis451         Pavardenis451       2.44              
Vardenis452         Pavardenis452       4.16              
Vardenis453         Pavardenis453       3.20              
Vardenis457         Pavardenis457       3.16              
Vardenis460         Pavardenis460       2.96              
Vardenis462         Pavardenis462       4.60              
Vardenis464         Pavardenis464       4.28              
Vardenis466         Pavardenis466       3.08              
Vardenis467         Pavardenis467       4.36              
Vardenis471         Pavardenis471       3.88              
Vardenis476         Pavardenis476       2.68              
Vardenis482         Pavardenis482       4.36              
Vardenis486         Pavardenis486       3.04              
Vardenis487         Pavardenis487       4.48              
Vardenis488         Pavardenis488       4.76              
Vardenis492         Pavardenis492       4.24              
Vardenis495         Pavardenis495       3.68              
Vardenis499         Pavardenis499       3.32              
Vardenis503         Pavardenis503       4.40              
Vardenis504         Pavardenis504       2.56              
Vardenis505         Pavardenis505       4.28              
Vardenis506         Pavardenis506       4.72              
Vardenis508         Pavardenis508       4.24              
Vardenis509         Pavardenis509       3.60              
Vardenis512         Pavardenis512       3.24              
Vardenis516         Pavardenis516       4.68              
Vardenis518         Pavardenis518       4.92              
Vardenis520         Pavardenis520       3.96              
Vardenis521         Pavardenis521       4.76              
Vardenis522         Pavardenis522       4.24              
Vardenis524         Pavardenis524       4.00              
Vardenis525         Pavardenis525       4.84              
Vardenis526         Pavardenis526       4.24              
Vardenis527         Pavardenis527       4.44              
Vardenis530         Pavardenis530       4.76              
Vardenis531         Pavardenis531       4.60              
Vardenis532         Pavardenis532       3.28              
Vardenis533         Pavardenis533       2.44              
Vardenis534         Pavardenis534       4.00              
Vardenis535         Pavardenis535       3.88              
Vardenis537         Pavardenis537       4.92              
Vardenis538         Pavardenis538       4.52              
Vardenis539         Pavardenis539       2.68              
Vardenis540         Pavardenis540       4.28              
Vardenis542         Pavardenis542       3.84              
Vardenis549         Pavardenis549       2.88              
Vardenis550         Pavardenis550       4.08              
Vardenis551         Pavardenis551       3.68              
Vardenis559         Pavardenis559       2.80              
Vardenis560         Pavardenis560       3.20              
Vardenis561         Pavardenis561       3.36              
Vardenis564         Pavardenis564       3.44              
Vardenis566         Pavardenis566       4.08              
Vardenis571         Pavardenis571       3.60              
Vardenis572         Pavardenis572       2.76              
Vardenis573         Pavardenis573       4.72              
Vardenis578         Pavardenis578       3.52              
Vardenis579         Pavardenis579       3.08              
Vardenis583         Pavardenis583       4.80              
Vardenis587         Pavardenis587       4.60              
Vardenis588         Pavardenis588       4.08              
Vardenis590         Pavardenis590       3.92              
Vardenis592         Pavardenis592       3.28              
Vardenis594         Pavardenis594       2.88              
Vardenis595         Pavardenis595       2.92              
Vardenis597         Pavardenis597       2.52              
Vardenis599         Pavardenis599       3.88              
Vardenis600         Pavardenis600       3.60              
Vardenis608         Pavardenis608       3.48              
Vardenis612         Pavardenis612       3.72              
Vardenis615         Pavardenis615       4.20              
Vardenis616         Pavardenis616       4.48              
Vardenis617         Pavardenis617       4.04              
Vardenis618         Pavardenis618       3.16              
Vardenis620         Pavardenis620       3.20              
Vardenis622         Pavardenis622       4.48              
Vardenis625         Pavardenis625       4.60              
Vardenis626         Pavardenis626       4.16              
Vardenis631         Pavardenis631       3.40              
Vardenis632         Pavardenis632       3.44              
Vardenis635         Pavardenis635       2.64              
Vardenis636         Pavardenis636       3.56              
Vardenis639         Pavardenis639       4.60              
Vardenis640         Pavardenis640       3.88              
Vardenis641         Pavardenis641       3.08              
Vardenis644         Pavardenis644       4.76              
Vardenis647         Pavardenis647       3.80              
Vardenis648         Pavardenis648       3.24              
Vardenis649         Pavardenis649       3.16              
Vardenis650         Pavardenis650       2.68              
Vardenis656         Pavardenis656       3.76              
Vardenis661         Pavardenis661       4.84              
Vardenis663         Pavardenis663       2.72              
Vardenis666         Pavardenis666       4.00              
Vardenis667         Pavardenis667       2.24              
Vardenis668         Pavardenis668       3.32              
Vardenis671         Pavardenis671       3.08              
Vardenis672         Pavardenis672       2.68              
Vardenis674         Pavardenis674       2.52              
Vardenis678         Pavardenis678       3.40              
Vardenis679         Pavardenis679       2.40              
Vardenis680         Pavardenis680       3.28              
Vardenis681         Pavardenis681       4.44              
Vardenis687         Pavardenis687       3.12              
Vardenis692         Pavardenis692       3.84              
Vardenis693         Pavardenis693       2.92              
Vardenis694         Pavardenis694       4.76              
Vardenis697         Pavardenis697       3.12              
Vardenis701         Pavardenis701       2.60              
Vardenis706         Pavardenis706       2.88              
Vardenis707         Pavardenis707       2.72              
Vardenis710         Pavardenis710       3.88              
Vardenis712         Pavardenis712       3.92              
Vardenis716         Pavardenis716       2.48              
Vardenis725         Pavardenis725       4.08              
Vardenis729         Pavardenis729       4.08              
