Vardas              Pavarde             Galutinis (med.)  
Vardenis490         Pavardenis490       4.00              
Vardenis492         Pavardenis492       4.00              
Vardenis493         Pavardenis493       4.00              
Vardenis499         Pavardenis499       3.50              
Vardenis500         Pavardenis500       4.50              
Vardenis502         Pavardenis502       4.50              
Vardenis503         Pavardenis503       3.00              
Vardenis506         Pavardenis506       3.50              
Vardenis509         Pavardenis509       3.00              
Vardenis510         Pavardenis510       4.00              
Vardenis514         Pavardenis514       3.00              
Vardenis519         Pavardenis519       3.50              
Vardenis521         Pavardenis521       2.50              
Vardenis524         Pavardenis524       4.00              
Vardenis526         Pavardenis526       3.00              
Vardenis528         Pavardenis528       3.00              
Vardenis531         Pavardenis531       3.00              
Vardenis535         Pavardenis535       4.50              
Vardenis537         Pavardenis537       3.50              
Vardenis539         Pavardenis539       4.50              
Vardenis542         Pavardenis542       4.00              
Vardenis550         Pavardenis550       4.50              
Vardenis552         Pavardenis552       4.00              
Vardenis556         Pavardenis556       4.50              
Vardenis562         Pavardenis562       4.00              
Vardenis563         Pavardenis563       4.00              
Vardenis565         Pavardenis565       4.50              
Vardenis567         Pavardenis567       4.50              
Vardenis568         Pavardenis568       3.00              
Vardenis569         Pavardenis569       4.50              
Vardenis571         Pavardenis571       4.00              
Vardenis573         Pavardenis573       3.00              
Vardenis578         Pavardenis578       4.00              
Vardenis580         Pavardenis580       4.50              
Vardenis582         Pavardenis582       4.50              
Vardenis585         Pavardenis585       4.00              
Vardenis587         Pavardenis587       4.00              
Vardenis589         Pavardenis589       4.50              
Vardenis592         Pavardenis592       3.50              
Vardenis593         Pavardenis593       4.50              
Vardenis598         Pavardenis598       4.50              
Vardenis599         Pavardenis599       3.50              
Vardenis600         Pavardenis600       2.50              
Vardenis601         Pavardenis601       2.50              
Vardenis604         Pavardenis604       4.00              
Vardenis605         Pavardenis605       4.50              
Vardenis609         Pavardenis609       4.50              
Vardenis612         Pavardenis612       4.00              
Vardenis631         Pavardenis631       4.50              
Vardenis634         Pavardenis634       3.50              
Vardenis635         Pavardenis635       3.00              
Vardenis641         Pavardenis641       3.50              
Vardenis643         Pavardenis643       3.00              
Vardenis645         Pavardenis645       4.50              
Vardenis647         Pavardenis647       4.00              
Vardenis648         Pavardenis648       4.00              
Vardenis653         Pavardenis653       4.00              
Vardenis659         Pavardenis659       4.50              
Vardenis660         Pavardenis660       4.00              
Vardenis662         Pavardenis662       4.50              
Vardenis665         Pavardenis665       4.50              
Vardenis667         Pavardenis667       4.50              
Vardenis668         Pavardenis668       4.50              
Vardenis672         Pavardenis672       4.00              
Vardenis680         Pavardenis680       4.50              
Vardenis681         Pavardenis681       4.00              
Vardenis683         Pavardenis683       4.00              
Vardenis697         Pavardenis697       4.50              
Vardenis700         Pavardenis700       3.50              
Vardenis702         Pavardenis702       4.50              
Vardenis704         Pavardenis704       4.00              
Vardenis705         Pavardenis705       4.00              
Vardenis708         Pavardenis708       3.00              
Vardenis714         Pavardenis714       4.50              
Vardenis715         Pavardenis715       4.50              
Vardenis717         Pavardenis717       4.50              
Vardenis718         Pavardenis718       4.00              
Vardenis721         Pavardenis721       4.00              
Vardenis731         Pavardenis731       3.00              
Vardenis734         Pavardenis734       4.50              
Vardenis735         Pavardenis735       4.00              
Vardenis736         Pavardenis736       3.00              
Vardenis738         Pavardenis738       4.50              
Vardenis744         Pavardenis744       4.00              
Vardenis745         Pavardenis745       4.50              
Vardenis746         Pavardenis746       3.50              
Vardenis747         Pavardenis747       4.00              
Vardenis748         Pavardenis748       4.50              
Vardenis755         Pavardenis755       4.50              
Vardenis756         Pavardenis756       4.50              
Vardenis759         Pavardenis759       3.50              
Vardenis762         Pavardenis762       3.50              
Vardenis763         Pavardenis763       4.00              
Vardenis765         Pavardenis765       4.50              
Vardenis769         Pavardenis769       2.00              
Vardenis771         Pavardenis771       3.00              
Vardenis772         Pavardenis772       3.50              
Vardenis776         Pavardenis776       4.50              
Vardenis779         Pavardenis779       4.50              
Vardenis780         Pavardenis780       4.50              
Vardenis782         Pavardenis782       3.50              
Vardenis791         Pavardenis791       4.50              
Vardenis793         Pavardenis793       4.00              
Vardenis794         Pavardenis794       4.50              
Vardenis795         Pavardenis795       4.50              
Vardenis797         Pavardenis797       4.50              
Vardenis800         Pavardenis800       3.50              
Vardenis802         Pavardenis802       4.50              
Vardenis803         Pavardenis803       4.00              
Vardenis805         Pavardenis805       2.00              
Vardenis812         Pavardenis812       4.00              
Vardenis813         Pavardenis813       4.50              
Vardenis814         Pavardenis814       1.50              
Vardenis820         Pavardenis820       3.50              
Vardenis821         Pavardenis821       4.00              
Vardenis832         Pavardenis832       3.50              
Vardenis834         Pavardenis834       4.00              
Vardenis835         Pavardenis835       3.50              
Vardenis837         Pavardenis837       4.00              
Vardenis838         Pavardenis838       4.50              
Vardenis841         Pavardenis841       4.00              
Vardenis844         Pavardenis844       3.50              
Vardenis846         Pavardenis846       4.50              
Vardenis848         Pavardenis848       4.50              
Vardenis849         Pavardenis849       4.50              
Vardenis852         Pavardenis852       3.50              
Vardenis855         Pavardenis855       4.00              
Vardenis857         Pavardenis857       4.50              
Vardenis859         Pavardenis859       2.50              
Vardenis860         Pavardenis860       4.50              
Vardenis861         Pavardenis861       3.50              
Vardenis863         Pavardenis863       4.50              
Vardenis864         Pavardenis864       4.50              
Vardenis871         Pavardenis871       3.00              
Vardenis872         Pavardenis872       3.00              
Vardenis877         Pavardenis877       2.00              
Vardenis886         Pavardenis886       4.50              
Vardenis887         Pavardenis887       4.00              
Vardenis894         Pavardenis894       3.00              
Vardenis896         Pavardenis896       4.50              
Vardenis900         Pavardenis900       3.00              
Vardenis901         Pavardenis901       3.00              
Vardenis905         Pavardenis905       3.50              
Vardenis907         Pavardenis907       4.50              
Vardenis908         Pavardenis908       3.00              
Vardenis911         Pavardenis911       4.00              
Vardenis912         Pavardenis912       4.00              
Vardenis914         Pavardenis914       3.00              
Vardenis919         Pavardenis919       4.00              
Vardenis920         Pavardenis920       3.00              
Vardenis921         Pavardenis921       4.50              
Vardenis923         Pavardenis923       4.50              
Vardenis924         Pavardenis924       4.50              
Vardenis925         Pavardenis925       4.50              
Vardenis927         Pavardenis927       3.50              
Vardenis934         Pavardenis934       4.50              
Vardenis935         Pavardenis935       4.00              
Vardenis942         Pavardenis942       4.50              
Vardenis946         Pavardenis946       3.50              
Vardenis950         Pavardenis950       4.00              
Vardenis956         Pavardenis956       4.00              
Vardenis962         Pavardenis962       4.00              
Vardenis963         Pavardenis963       4.50              
Vardenis980         Pavardenis980       4.00              
Vardenis983         Pavardenis983       3.50              
Vardenis984         Pavardenis984       3.50              
Vardenis995         Pavardenis995       3.50              
Vardenis998         Pavardenis998       3.50              
Vardenis1000        Pavardenis1000      4.50              
