Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egz.    
Vardenis37          Pavardenis37        5       7       6       8       3       5       4       7       7       9       5       
Vardenis38          Pavardenis38        5       3       6       9       9       4       7       2       4       6       5       
Vardenis39          Pavardenis39        4       2       7       5       9       5       8       3       7       5       6       
Vardenis40          Pavardenis40        9       6       1       5       8       5       6       4       8       10      6       
Vardenis41          Pavardenis41        5       8       7       5       4       10      3       4       9       3       4       
Vardenis42          Pavardenis42        2       4       4       8       7       5       10      9       2       9       6       
Vardenis43          Pavardenis43        3       6       9       1       3       6       6       8       5       5       5       
Vardenis44          Pavardenis44        8       5       5       8       5       1       8       3       5       1       3       
Vardenis45          Pavardenis45        6       5       3       7       3       6       9       1       9       4       8       
Vardenis46          Pavardenis46        3       5       4       1       5       3       1       3       9       4       2       
Vardenis47          Pavardenis47        1       2       7       10      1       3       4       7       7       9       6       
Vardenis48          Pavardenis48        9       7       6       3       9       4       5       2       2       9       4       
Vardenis49          Pavardenis49        5       2       8       3       4       3       9       9       6       4       9       
Vardenis50          Pavardenis50        3       5       7       10      2       5       8       9       9       2       10      
Vardenis51          Pavardenis51        2       10      5       5       8       5       3       4       5       10      5       
Vardenis52          Pavardenis52        5       5       6       9       1       10      1       4       4       2       2       
Vardenis53          Pavardenis53        1       1       3       10      6       3       10      10      9       10      5       
Vardenis54          Pavardenis54        9       2       1       2       7       4       4       5       4       9       7       
Vardenis55          Pavardenis55        9       8       3       8       9       1       4       5       1       6       3       
Vardenis56          Pavardenis56        1       7       5       4       4       7       7       5       3       8       2       
Vardenis57          Pavardenis57        8       2       8       6       10      3       4       2       5       9       10      
Vardenis58          Pavardenis58        1       1       4       3       1       7       6       8       1       6       3       
Vardenis59          Pavardenis59        5       7       9       9       7       4       4       2       8       4       10      
Vardenis60          Pavardenis60        7       10      3       2       9       1       4       3       1       3       3       
Vardenis61          Pavardenis61        8       1       3       10      7       5       5       2       6       3       3       
Vardenis62          Pavardenis62        1       6       4       7       3       4       4       10      9       5       2       
Vardenis63          Pavardenis63        1       10      7       4       9       6       10      8       4       2       1       
Vardenis64          Pavardenis64        9       4       5       8       8       7       10      8       4       6       10      
Vardenis65          Pavardenis65        5       9       10      1       3       9       1       2       2       9       8       
Vardenis66          Pavardenis66        8       2       9       3       9       2       4       9       6       2       1       
Vardenis67          Pavardenis67        4       5       5       5       8       5       6       10      3       8       5       
Vardenis68          Pavardenis68        3       3       7       2       5       10      10      2       9       2       6       
Vardenis69          Pavardenis69        1       6       3       1       10      3       9       5       8       1       4       
Vardenis70          Pavardenis70        1       3       3       1       4       7       1       7       4       8       7       
Vardenis71          Pavardenis71        7       4       9       6       2       1       7       8       6       6       9       
Vardenis72          Pavardenis72        3       8       4       9       8       1       9       4       1       6       9       
Vardenis73          Pavardenis73        8       9       5       3       3       2       3       1       8       1       8       
Vardenis74          Pavardenis74        2       3       7       8       2       10      10      10      3       8       1       
Vardenis75          Pavardenis75        10      3       7       9       7       10      6       2       8       3       9       
Vardenis76          Pavardenis76        8       5       7       1       5       6       9       1       5       7       5       
Vardenis77          Pavardenis77        5       2       2       3       6       6       6       9       5       2       8       
Vardenis78          Pavardenis78        1       2       8       3       3       5       9       3       3       10      1       
Vardenis79          Pavardenis79        6       3       7       2       5       1       9       8       1       9       1       
Vardenis80          Pavardenis80        1       7       1       5       4       1       3       10      5       8       10      
Vardenis81          Pavardenis81        3       2       6       1       1       4       6       3       7       5       1       
Vardenis82          Pavardenis82        1       3       10      6       4       7       4       3       8       1       7       
Vardenis83          Pavardenis83        7       7       10      5       5       10      10      4       7       10      1       
Vardenis84          Pavardenis84        4       10      9       2       5       5       6       4       5       3       8       
Vardenis85          Pavardenis85        3       9       4       8       6       1       2       10      3       10      8       
Vardenis86          Pavardenis86        3       7       9       5       10      10      5       6       8       8       5       
Vardenis87          Pavardenis87        6       3       8       1       9       3       3       2       3       1       5       
Vardenis88          Pavardenis88        8       4       10      6       2       5       1       9       1       5       2       
Vardenis89          Pavardenis89        2       6       8       6       8       7       9       2       3       8       2       
Vardenis90          Pavardenis90        3       3       10      10      2       2       9       5       8       1       7       
Vardenis91          Pavardenis91        1       3       2       9       9       5       1       4       7       7       4       
Vardenis92          Pavardenis92        5       8       4       9       8       1       10      6       4       2       6       
Vardenis93          Pavardenis93        8       4       3       9       1       6       6       2       3       4       4       
Vardenis94          Pavardenis94        1       4       4       10      6       1       9       8       8       1       2       
Vardenis95          Pavardenis95        7       5       1       1       8       8       9       4       3       3       7       
Vardenis96          Pavardenis96        3       8       10      6       1       4       8       2       2       8       10      
Vardenis97          Pavardenis97        4       8       3       9       2       1       2       1       4       2       6       
Vardenis98          Pavardenis98        10      1       10      3       1       10      3       2       4       7       8       
Vardenis99          Pavardenis99        8       4       10      9       3       4       2       1       4       1       4       
Vardenis100         Pavardenis100       6       3       7       2       4       2       4       9       3       1       4       
Vardenis101         Pavardenis101       7       9       2       6       9       4       9       4       9       6       10      
Vardenis102         Pavardenis102       1       7       2       4       10      5       1       9       9       6       10      
Vardenis103         Pavardenis103       1       1       7       9       8       9       7       1       9       1       10      
Vardenis104         Pavardenis104       9       2       7       6       7       6       2       1       3       6       9       
Vardenis105         Pavardenis105       10      8       6       3       3       1       4       7       8       4       2       
Vardenis106         Pavardenis106       7       1       2       5       10      6       3       5       5       3       6       
Vardenis107         Pavardenis107       10      8       10      10      8       8       3       7       3       5       2       
Vardenis108         Pavardenis108       4       5       8       6       7       9       3       7       2       5       5       
Vardenis109         Pavardenis109       4       5       10      3       4       7       1       6       7       2       10      
Vardenis110         Pavardenis110       7       3       3       5       1       9       2       9       8       7       10      
Vardenis111         Pavardenis111       4       4       2       7       7       8       9       8       1       4       10      
Vardenis112         Pavardenis112       5       6       6       7       1       9       2       7       4       4       3       
Vardenis113         Pavardenis113       2       3       6       6       3       7       9       4       9       9       5       
Vardenis114         Pavardenis114       2       3       6       7       9       7       5       1       1       3       2       
Vardenis115         Pavardenis115       6       3       7       2       5       1       5       6       9       2       6       
Vardenis116         Pavardenis116       3       2       5       10      10      1       8       9       7       4       8       
Vardenis117         Pavardenis117       1       5       2       2       2       8       2       1       6       8       3       
Vardenis118         Pavardenis118       10      7       10      3       4       4       2       5       4       7       8       
Vardenis119         Pavardenis119       8       9       10      7       6       9       2       4       10      10      1       
Vardenis120         Pavardenis120       8       7       6       8       3       4       2       7       10      10      5       
Vardenis121         Pavardenis121       1       3       4       6       6       7       5       4       3       3       3       
Vardenis122         Pavardenis122       7       8       7       1       7       8       7       5       1       5       3       
Vardenis123         Pavardenis123       7       1       7       4       8       10      3       1       7       4       2       
Vardenis124         Pavardenis124       10      10      4       1       10      6       7       8       5       2       5       
Vardenis125         Pavardenis125       8       7       7       10      2       8       9       10      7       1       3       
Vardenis126         Pavardenis126       7       10      8       7       1       1       4       1       8       8       1       
Vardenis127         Pavardenis127       8       6       2       3       1       3       10      7       2       9       1       
Vardenis128         Pavardenis128       5       5       3       8       5       8       5       9       2       7       9       
Vardenis129         Pavardenis129       8       9       10      9       9       5       2       6       10      5       6       
Vardenis130         Pavardenis130       6       8       4       7       6       2       6       7       10      1       5       
Vardenis131         Pavardenis131       6       7       4       7       3       5       7       10      8       1       9       
Vardenis132         Pavardenis132       5       4       6       7       8       2       3       4       4       2       9       
Vardenis133         Pavardenis133       8       1       3       7       1       1       10      7       3       8       3       
Vardenis134         Pavardenis134       7       6       6       10      3       5       7       6       1       10      3       
Vardenis135         Pavardenis135       10      10      4       7       10      9       4       6       5       4       5       
Vardenis136         Pavardenis136       10      10      10      1       4       2       7       3       2       10      6       
Vardenis137         Pavardenis137       8       2       4       3       7       2       3       3       3       9       1       
Vardenis138         Pavardenis138       3       3       2       9       6       3       4       6       2       7       6       
Vardenis139         Pavardenis139       1       7       9       7       8       10      10      1       8       4       6       
Vardenis140         Pavardenis140       4       1       2       10      6       10      10      4       9       7       5       
Vardenis141         Pavardenis141       10      4       1       5       5       6       3       7       4       10      8       
Vardenis142         Pavardenis142       8       1       3       3       5       6       9       2       1       7       6       
Vardenis143         Pavardenis143       2       10      4       10      2       1       7       2       1       1       10      
Vardenis144         Pavardenis144       1       10      7       5       6       6       6       9       8       4       4       
Vardenis145         Pavardenis145       7       4       2       5       8       3       1       4       3       7       6       
Vardenis146         Pavardenis146       2       4       3       9       3       2       5       8       4       9       1       
Vardenis147         Pavardenis147       7       2       5       3       4       6       6       10      1       9       5       
Vardenis148         Pavardenis148       4       10      6       4       6       6       6       3       3       10      3       
Vardenis149         Pavardenis149       4       4       7       10      5       6       9       3       7       10      10      
Vardenis150         Pavardenis150       9       8       10      1       3       9       1       5       2       2       2       
Vardenis151         Pavardenis151       9       1       4       9       6       3       2       8       7       1       1       
Vardenis152         Pavardenis152       8       1       10      8       3       1       8       4       9       4       5       
Vardenis153         Pavardenis153       2       2       4       10      6       5       9       10      6       10      10      
Vardenis154         Pavardenis154       8       8       3       10      2       10      3       9       7       3       4       
Vardenis155         Pavardenis155       3       8       5       8       1       1       4       8       2       2       3       
Vardenis156         Pavardenis156       8       8       3       7       6       4       6       8       1       3       4       
Vardenis157         Pavardenis157       2       9       2       4       9       6       3       8       1       5       4       
Vardenis158         Pavardenis158       7       5       5       2       1       7       5       3       5       9       3       
Vardenis159         Pavardenis159       6       6       10      7       10      4       2       9       2       7       4       
Vardenis160         Pavardenis160       10      5       1       9       2       9       8       1       3       1       9       
Vardenis161         Pavardenis161       8       7       9       5       9       7       8       1       4       8       3       
Vardenis162         Pavardenis162       4       9       5       9       5       9       2       10      6       8       7       
Vardenis163         Pavardenis163       5       2       4       1       2       9       10      10      5       7       10      
Vardenis164         Pavardenis164       3       5       8       8       9       10      10      7       8       8       1       
Vardenis165         Pavardenis165       5       3       8       6       3       9       4       4       5       5       8       
Vardenis166         Pavardenis166       2       3       3       2       3       10      7       3       4       5       1       
Vardenis167         Pavardenis167       6       10      3       9       8       7       3       6       4       3       6       
Vardenis168         Pavardenis168       9       3       2       4       2       9       1       9       6       5       7       
Vardenis169         Pavardenis169       10      3       4       7       6       2       8       4       7       5       1       
Vardenis170         Pavardenis170       4       2       7       6       3       8       8       3       8       4       5       
Vardenis171         Pavardenis171       9       2       8       9       2       2       4       4       1       7       3       
Vardenis172         Pavardenis172       5       9       9       8       3       3       6       8       10      3       5       
Vardenis173         Pavardenis173       7       4       3       2       9       6       10      7       9       3       1       
Vardenis174         Pavardenis174       4       5       3       1       10      10      8       8       3       3       7       
Vardenis175         Pavardenis175       6       7       4       7       10      5       8       4       7       1       8       
Vardenis176         Pavardenis176       4       6       10      2       6       8       1       3       3       2       6       
Vardenis177         Pavardenis177       6       3       6       10      5       9       2       6       4       6       4       
Vardenis178         Pavardenis178       10      10      6       4       1       4       3       6       4       5       5       
Vardenis179         Pavardenis179       4       6       9       3       8       7       4       5       5       8       5       
Vardenis180         Pavardenis180       4       7       10      7       6       10      7       6       5       7       1       
Vardenis181         Pavardenis181       4       7       3       1       10      10      7       5       10      2       4       
Vardenis182         Pavardenis182       3       10      2       3       9       6       5       1       5       5       3       
Vardenis183         Pavardenis183       7       8       8       7       2       1       5       7       4       2       7       
Vardenis184         Pavardenis184       2       9       8       7       7       5       5       3       3       1       6       
Vardenis185         Pavardenis185       1       9       6       3       1       9       3       10      2       5       5       
Vardenis186         Pavardenis186       9       4       2       7       8       8       6       6       5       4       7       
Vardenis187         Pavardenis187       3       4       9       6       10      10      3       6       2       2       5       
Vardenis188         Pavardenis188       10      10      10      9       7       7       4       7       1       6       8       
Vardenis189         Pavardenis189       10      3       1       2       1       8       2       5       1       7       2       
Vardenis190         Pavardenis190       9       3       8       3       6       8       8       8       9       6       3       
Vardenis191         Pavardenis191       10      9       5       8       4       3       4       4       7       5       10      
Vardenis192         Pavardenis192       8       10      2       6       5       1       9       5       8       10      2       
Vardenis193         Pavardenis193       7       10      1       3       2       9       4       3       5       9       7       
Vardenis194         Pavardenis194       6       7       5       1       7       10      7       10      9       3       1       
Vardenis195         Pavardenis195       9       9       4       5       10      10      10      3       1       8       8       
Vardenis196         Pavardenis196       10      5       3       8       5       2       1       1       2       7       8       
Vardenis197         Pavardenis197       7       3       5       9       9       4       5       7       10      10      1       
Vardenis198         Pavardenis198       3       3       6       4       1       4       4       2       8       8       6       
Vardenis199         Pavardenis199       8       3       4       5       3       10      2       6       7       6       5       
Vardenis200         Pavardenis200       4       3       10      2       7       9       3       1       7       4       5       
Vardenis201         Pavardenis201       5       4       8       8       9       3       5       4       8       8       3       
Vardenis202         Pavardenis202       2       4       10      8       10      6       6       8       2       9       3       
Vardenis203         Pavardenis203       10      1       9       2       10      10      8       6       4       10      8       
Vardenis204         Pavardenis204       3       9       1       1       9       1       6       4       2       7       8       
Vardenis205         Pavardenis205       10      6       4       10      1       3       7       3       9       6       7       
Vardenis206         Pavardenis206       10      3       10      7       9       6       8       6       10      6       1       
Vardenis207         Pavardenis207       7       3       6       6       2       10      7       3       3       1       7       
Vardenis208         Pavardenis208       9       2       3       7       7       5       4       5       5       4       1       
Vardenis209         Pavardenis209       6       10      9       6       2       4       10      2       4       4       9       
Vardenis210         Pavardenis210       7       3       6       8       8       9       4       8       3       1       1       
Vardenis211         Pavardenis211       9       3       7       2       10      1       6       9       6       8       3       
Vardenis212         Pavardenis212       3       7       10      2       5       7       3       3       2       2       2       
Vardenis213         Pavardenis213       8       3       9       6       2       9       10      5       5       9       10      
Vardenis214         Pavardenis214       9       4       10      2       7       8       8       7       3       1       6       
Vardenis215         Pavardenis215       6       2       5       1       2       9       5       7       9       6       2       
Vardenis216         Pavardenis216       8       1       4       2       6       4       1       9       9       3       9       
Vardenis217         Pavardenis217       6       7       2       6       5       2       6       4       9       4       1       
Vardenis218         Pavardenis218       4       3       8       4       9       3       2       9       7       10      4       
Vardenis219         Pavardenis219       3       4       7       10      9       3       6       7       9       2       6       
Vardenis220         Pavardenis220       5       2       1       1       7       7       9       6       2       1       4       
Vardenis221         Pavardenis221       6       1       10      6       5       10      1       9       4       7       2       
Vardenis222         Pavardenis222       8       2       7       6       4       9       8       7       9       6       4       
Vardenis223         Pavardenis223       5       3       8       6       4       10      4       5       8       3       10      
Vardenis224         Pavardenis224       8       8       4       5       1       4       10      8       1       4       8       
Vardenis225         Pavardenis225       10      1       10      1       10      8       4       2       2       4       4       
Vardenis226         Pavardenis226       8       4       8       7       1       6       4       3       10      9       9       
Vardenis227         Pavardenis227       9       3       1       5       2       4       2       8       2       4       7       
Vardenis228         Pavardenis228       1       6       8       1       6       7       10      10      3       2       7       
Vardenis229         Pavardenis229       5       1       1       3       4       1       3       6       9       1       9       
Vardenis230         Pavardenis230       4       3       1       4       5       2       5       8       6       2       1       
Vardenis231         Pavardenis231       3       5       1       7       1       2       8       5       6       6       3       
Vardenis232         Pavardenis232       9       2       3       8       6       7       4       1       7       9       8       
Vardenis233         Pavardenis233       5       3       2       9       7       3       10      9       5       3       5       
Vardenis234         Pavardenis234       9       8       2       3       2       7       6       7       2       6       4       
Vardenis235         Pavardenis235       4       6       10      4       4       6       1       3       5       3       7       
Vardenis236         Pavardenis236       9       4       8       3       2       3       10      4       10      9       2       
Vardenis237         Pavardenis237       3       5       6       4       9       4       5       2       7       7       4       
Vardenis238         Pavardenis238       8       6       5       7       6       4       6       2       10      6       5       
Vardenis239         Pavardenis239       9       5       10      6       6       1       3       1       6       10      8       
Vardenis240         Pavardenis240       7       1       8       1       6       5       3       10      6       10      7       
Vardenis241         Pavardenis241       10      3       3       1       3       7       7       10      6       4       2       
Vardenis242         Pavardenis242       5       1       1       1       3       6       6       5       1       10      5       
Vardenis243         Pavardenis243       6       3       6       3       7       9       3       1       9       6       10      
Vardenis244         Pavardenis244       1       10      10      10      9       3       8       5       9       3       7       
Vardenis245         Pavardenis245       6       10      1       1       9       1       1       6       9       9       6       
Vardenis246         Pavardenis246       3       2       2       4       6       10      5       8       10      4       5       
Vardenis247         Pavardenis247       5       5       3       2       5       10      3       4       10      3       1       
Vardenis248         Pavardenis248       5       2       5       9       6       1       6       7       3       4       6       
Vardenis249         Pavardenis249       1       1       2       2       1       5       9       4       4       4       2       
Vardenis250         Pavardenis250       1       8       7       3       8       10      5       8       7       6       8       
Vardenis251         Pavardenis251       6       8       4       9       2       9       8       4       9       1       9       
Vardenis252         Pavardenis252       6       4       7       4       3       10      10      1       10      9       5       
Vardenis253         Pavardenis253       9       10      8       8       10      6       3       6       2       10      2       
Vardenis254         Pavardenis254       8       3       1       7       5       7       8       10      8       2       8       
Vardenis255         Pavardenis255       5       3       3       5       2       10      9       7       7       7       1       
Vardenis256         Pavardenis256       9       5       10      3       8       10      1       1       4       1       10      
Vardenis257         Pavardenis257       1       9       9       6       2       5       4       8       7       3       7       
Vardenis258         Pavardenis258       7       1       6       7       4       2       8       1       3       10      7       
Vardenis259         Pavardenis259       7       10      10      6       7       3       5       4       2       7       8       
Vardenis260         Pavardenis260       5       2       7       8       4       6       2       9       1       7       2       
Vardenis261         Pavardenis261       4       4       6       2       6       5       2       6       9       10      7       
Vardenis262         Pavardenis262       5       2       5       2       10      5       10      4       3       2       1       
Vardenis263         Pavardenis263       7       2       8       8       4       4       4       9       9       5       6       
Vardenis264         Pavardenis264       9       2       4       3       6       3       10      4       10      10      2       
Vardenis265         Pavardenis265       3       4       7       8       3       8       5       7       8       4       5       
Vardenis266         Pavardenis266       5       10      7       3       7       9       1       2       4       5       3       
Vardenis267         Pavardenis267       2       10      7       10      2       9       10      6       5       6       8       
Vardenis268         Pavardenis268       6       6       1       1       2       9       4       3       6       5       7       
Vardenis269         Pavardenis269       2       3       4       10      2       2       4       5       3       5       5       
Vardenis270         Pavardenis270       8       6       2       9       5       9       10      5       1       3       10      
Vardenis271         Pavardenis271       2       9       9       2       5       4       7       9       6       7       2       
Vardenis272         Pavardenis272       6       2       10      3       6       10      9       10      10      8       6       
Vardenis273         Pavardenis273       7       3       4       1       9       10      9       5       10      3       8       
Vardenis274         Pavardenis274       4       7       8       3       4       3       4       7       9       2       10      
Vardenis275         Pavardenis275       6       7       2       9       9       9       6       10      8       9       8       
Vardenis276         Pavardenis276       10      2       9       5       5       9       9       3       8       3       1       
Vardenis277         Pavardenis277       10      10      2       6       1       5       3       10      7       4       1       
Vardenis278         Pavardenis278       7       5       6       6       2       9       3       10      2       1       10      
Vardenis279         Pavardenis279       1       2       5       5       6       8       9       5       1       7       1       
Vardenis280         Pavardenis280       8       1       7       9       10      4       10      4       3       4       1       
Vardenis281         Pavardenis281       4       5       6       6       3       7       2       6       10      4       5       
Vardenis282         Pavardenis282       5       8       9       3       7       8       8       5       3       10      10      
Vardenis283         Pavardenis283       3       10      7       4       9       2       9       9       5       6       10      
Vardenis284         Pavardenis284       9       1       3       9       1       5       5       7       5       2       9       
Vardenis285         Pavardenis285       1       1       3       8       3       4       8       9       2       9       7       
Vardenis286         Pavardenis286       7       9       10      9       9       9       8       1       7       3       8       
Vardenis287         Pavardenis287       6       7       9       1       1       9       8       4       3       2       8       
Vardenis288         Pavardenis288       7       3       7       3       7       5       6       9       4       7       3       
Vardenis289         Pavardenis289       9       10      1       7       10      8       2       6       1       6       9       
Vardenis290         Pavardenis290       7       9       7       4       3       3       5       10      10      2       2       
Vardenis291         Pavardenis291       4       8       6       9       3       6       1       7       8       10      1       
Vardenis292         Pavardenis292       8       10      3       10      8       9       7       6       2       4       3       
Vardenis293         Pavardenis293       7       6       6       8       6       2       6       1       2       6       3       
Vardenis294         Pavardenis294       9       7       3       8       10      10      10      10      9       5       8       
Vardenis295         Pavardenis295       7       6       1       7       4       8       9       4       10      5       1       
Vardenis296         Pavardenis296       1       1       3       4       1       1       3       5       2       9       8       
Vardenis297         Pavardenis297       1       1       3       3       4       4       8       9       6       4       3       
Vardenis298         Pavardenis298       4       5       6       6       7       7       8       8       9       3       8       
Vardenis299         Pavardenis299       6       6       1       1       8       10      10      8       8       5       9       
Vardenis300         Pavardenis300       7       10      9       5       3       10      7       6       1       7       4       
Vardenis301         Pavardenis301       10      2       2       8       1       4       10      8       3       7       2       
Vardenis302         Pavardenis302       3       6       3       2       7       5       2       5       8       4       2       
Vardenis303         Pavardenis303       6       1       2       7       1       7       7       10      8       9       1       
Vardenis304         Pavardenis304       6       2       2       4       9       10      2       6       9       2       8       
Vardenis305         Pavardenis305       2       6       2       3       9       1       4       3       4       1       9       
Vardenis306         Pavardenis306       1       5       9       6       1       3       1       4       5       6       1       
Vardenis307         Pavardenis307       9       4       10      2       9       1       2       6       10      1       7       
Vardenis308         Pavardenis308       9       7       9       10      3       1       6       2       8       10      6       
Vardenis309         Pavardenis309       1       3       7       9       6       6       10      9       4       4       3       
Vardenis310         Pavardenis310       7       2       5       4       7       5       6       1       2       9       5       
Vardenis311         Pavardenis311       2       7       6       8       5       7       10      9       10      1       9       
Vardenis312         Pavardenis312       3       9       9       6       2       3       9       2       6       3       1       
Vardenis313         Pavardenis313       8       2       1       7       5       1       10      7       7       1       2       
Vardenis314         Pavardenis314       8       3       3       1       8       8       6       9       10      5       2       
Vardenis315         Pavardenis315       6       7       9       5       6       2       4       1       7       7       8       
Vardenis316         Pavardenis316       8       9       4       8       2       10      8       10      4       3       8       
Vardenis317         Pavardenis317       3       8       7       4       4       4       10      6       1       4       9       
Vardenis318         Pavardenis318       6       6       9       4       1       2       9       6       9       10      1       
Vardenis319         Pavardenis319       5       4       10      2       4       3       6       7       6       10      2       
Vardenis320         Pavardenis320       9       4       4       6       9       3       8       9       10      8       9       
Vardenis321         Pavardenis321       5       3       10      8       7       1       5       6       8       9       8       
Vardenis322         Pavardenis322       6       9       1       4       7       4       10      4       1       4       9       
Vardenis323         Pavardenis323       10      10      6       7       5       2       1       2       10      3       1       
Vardenis324         Pavardenis324       5       7       2       10      1       9       3       10      7       9       1       
Vardenis325         Pavardenis325       3       3       9       1       6       9       10      7       1       6       6       
Vardenis326         Pavardenis326       2       10      3       10      5       4       8       6       6       10      9       
Vardenis327         Pavardenis327       7       7       7       1       3       8       6       3       6       1       6       
Vardenis328         Pavardenis328       10      9       10      4       1       1       9       1       3       6       2       
Vardenis329         Pavardenis329       8       3       9       6       2       7       5       1       5       2       5       
Vardenis330         Pavardenis330       2       3       2       3       2       1       9       1       3       7       5       
Vardenis331         Pavardenis331       5       8       10      4       10      3       7       6       5       5       1       
Vardenis332         Pavardenis332       4       1       9       7       3       4       2       4       5       4       8       
Vardenis333         Pavardenis333       6       10      10      5       1       6       7       9       10      9       3       
Vardenis334         Pavardenis334       5       4       6       6       2       1       1       2       3       3       4       
Vardenis335         Pavardenis335       3       2       3       4       9       1       8       4       1       3       2       
Vardenis336         Pavardenis336       6       8       10      7       7       6       10      3       1       10      2       
Vardenis337         Pavardenis337       8       6       5       9       7       3       9       2       5       9       10      
Vardenis338         Pavardenis338       10      8       1       1       2       5       9       5       8       5       6       
Vardenis339         Pavardenis339       6       10      10      7       9       9       2       8       3       6       6       
Vardenis340         Pavardenis340       10      4       2       1       10      9       3       6       4       9       8       
Vardenis341         Pavardenis341       8       7       2       6       8       8       9       10      7       4       8       
Vardenis342         Pavardenis342       7       8       1       5       8       3       1       5       10      7       9       
Vardenis343         Pavardenis343       9       10      3       8       4       9       4       1       1       9       5       
Vardenis344         Pavardenis344       5       7       1       9       9       2       10      8       1       7       8       
Vardenis345         Pavardenis345       3       10      3       4       10      9       3       8       9       1       3       
Vardenis346         Pavardenis346       8       2       2       7       2       5       5       6       10      7       4       
Vardenis347         Pavardenis347       8       3       9       3       7       10      6       5       8       10      6       
Vardenis348         Pavardenis348       1       2       4       3       9       9       10      9       8       4       8       
Vardenis349         Pavardenis349       5       3       8       3       8       6       9       1       8       9       2       
Vardenis350         Pavardenis350       1       6       7       7       2       8       10      5       1       4       1       
Vardenis351         Pavardenis351       9       10      7       4       4       6       4       5       4       3       8       
Vardenis352         Pavardenis352       7       4       10      4       10      9       4       3       1       2       10      
Vardenis353         Pavardenis353       6       5       4       9       8       1       7       6       5       3       7       
Vardenis354         Pavardenis354       6       4       4       10      10      6       8       3       7       6       2       
Vardenis355         Pavardenis355       8       10      7       8       7       6       6       3       1       6       5       
Vardenis356         Pavardenis356       3       1       2       1       4       6       8       2       1       6       1       
Vardenis357         Pavardenis357       10      1       9       6       7       3       4       3       1       6       3       
Vardenis358         Pavardenis358       4       6       10      4       4       4       8       2       4       5       4       
Vardenis359         Pavardenis359       9       7       6       7       9       9       5       9       7       1       7       
Vardenis360         Pavardenis360       2       6       8       2       3       5       8       3       1       10      8       
Vardenis361         Pavardenis361       1       6       9       2       8       4       7       3       1       10      7       
Vardenis362         Pavardenis362       9       7       1       8       9       8       3       5       2       1       3       
Vardenis363         Pavardenis363       4       4       8       9       8       2       10      8       10      7       4       
Vardenis364         Pavardenis364       3       7       1       6       9       5       9       4       1       4       7       
Vardenis365         Pavardenis365       6       7       8       1       7       6       9       8       6       2       8       
