Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egz.    
Vardenis35          Pavardenis35        5       2       8       3       4       1       5       4       6       7       5       
Vardenis36          Pavardenis36        1       9       10      2       7       5       10      6       2       3       4       
Vardenis37          Pavardenis37        3       2       5       4       1       2       1       10      10      4       3       
Vardenis38          Pavardenis38        1       3       2       6       8       3       6       9       9       4       7       
Vardenis39          Pavardenis39        7       5       7       10      10      8       6       2       9       3       4       
Vardenis40          Pavardenis40        2       8       9       6       4       2       6       1       1       7       10      
Vardenis41          Pavardenis41        4       7       8       4       5       1       7       6       10      3       6       
Vardenis42          Pavardenis42        10      9       8       2       4       2       2       10      4       2       2       
Vardenis43          Pavardenis43        8       8       6       2       3       3       6       2       9       3       3       
Vardenis44          Pavardenis44        7       2       3       9       2       9       8       5       9       10      6       
Vardenis45          Pavardenis45        6       5       8       8       3       3       3       5       7       5       2       
Vardenis46          Pavardenis46        9       5       4       1       9       4       1       6       10      7       10      
Vardenis47          Pavardenis47        3       3       6       2       1       3       7       6       10      6       4       
Vardenis48          Pavardenis48        9       3       10      7       2       2       2       1       8       9       2       
Vardenis49          Pavardenis49        1       9       8       9       1       5       4       3       6       10      4       
Vardenis50          Pavardenis50        6       7       3       4       10      5       1       1       10      4       6       
Vardenis51          Pavardenis51        2       6       6       5       8       4       9       3       6       9       3       
Vardenis52          Pavardenis52        6       3       4       6       6       2       10      2       2       9       10      
Vardenis53          Pavardenis53        2       7       5       3       9       8       8       1       6       5       8       
Vardenis54          Pavardenis54        4       4       4       2       4       5       10      1       6       9       3       
Vardenis55          Pavardenis55        6       2       5       4       5       3       6       9       4       4       8       
Vardenis56          Pavardenis56        10      5       2       6       1       6       8       9       5       4       2       
Vardenis57          Pavardenis57        7       9       4       8       3       2       1       2       5       2       10      
Vardenis58          Pavardenis58        4       7       1       4       10      3       9       4       7       1       4       
Vardenis59          Pavardenis59        7       9       10      2       2       8       2       6       10      6       8       
Vardenis60          Pavardenis60        3       10      5       3       7       8       8       9       9       7       1       
Vardenis61          Pavardenis61        6       6       6       3       3       10      5       8       1       10      10      
Vardenis62          Pavardenis62        1       8       1       3       1       5       4       9       10      6       1       
Vardenis63          Pavardenis63        10      4       5       9       10      9       1       5       2       10      10      
Vardenis64          Pavardenis64        4       2       4       1       5       10      1       6       7       5       5       
Vardenis65          Pavardenis65        8       7       5       1       10      10      5       4       5       3       8       
Vardenis66          Pavardenis66        9       9       10      9       1       3       3       4       7       8       3       
Vardenis67          Pavardenis67        3       4       7       2       1       8       3       7       10      9       2       
Vardenis68          Pavardenis68        1       7       9       2       4       6       8       8       5       9       9       
Vardenis69          Pavardenis69        7       9       7       4       7       3       6       4       8       1       2       
Vardenis70          Pavardenis70        4       10      9       8       10      6       6       4       2       7       5       
Vardenis71          Pavardenis71        1       4       3       6       9       7       5       3       10      1       6       
Vardenis72          Pavardenis72        3       5       1       1       3       5       6       9       4       9       5       
Vardenis73          Pavardenis73        6       1       4       6       10      7       2       7       9       7       5       
Vardenis74          Pavardenis74        7       10      3       1       10      8       4       3       7       8       2       
Vardenis75          Pavardenis75        10      5       7       7       1       10      5       9       9       3       7       
Vardenis76          Pavardenis76        8       8       2       3       10      3       4       9       2       6       10      
Vardenis77          Pavardenis77        3       1       10      5       9       7       5       5       1       8       3       
Vardenis78          Pavardenis78        10      6       6       1       2       9       8       2       8       9       6       
Vardenis79          Pavardenis79        8       3       2       5       10      6       10      10      3       8       3       
Vardenis80          Pavardenis80        6       4       7       8       1       8       10      6       9       8       1       
Vardenis81          Pavardenis81        4       2       1       9       7       5       6       1       9       4       2       
Vardenis82          Pavardenis82        6       7       3       8       7       2       3       2       3       8       1       
Vardenis83          Pavardenis83        6       9       7       1       8       3       1       4       2       5       7       
Vardenis84          Pavardenis84        7       9       4       9       3       5       9       9       2       7       7       
Vardenis85          Pavardenis85        10      6       8       6       1       4       5       4       2       10      2       
Vardenis86          Pavardenis86        1       1       8       1       9       2       10      10      6       1       4       
Vardenis87          Pavardenis87        6       3       7       5       5       7       3       7       9       9       1       
Vardenis88          Pavardenis88        6       8       10      1       7       3       6       9       1       9       4       
Vardenis89          Pavardenis89        6       3       9       3       7       1       9       9       6       4       3       
Vardenis90          Pavardenis90        1       7       9       1       5       10      9       3       9       6       4       
Vardenis91          Pavardenis91        3       9       10      9       2       7       8       7       4       10      3       
Vardenis92          Pavardenis92        1       1       5       5       1       8       1       2       3       5       9       
Vardenis93          Pavardenis93        10      9       4       7       8       6       2       9       4       3       7       
Vardenis94          Pavardenis94        2       8       4       1       4       1       1       2       2       9       5       
Vardenis95          Pavardenis95        9       5       10      4       4       8       3       1       9       3       6       
Vardenis96          Pavardenis96        6       9       1       5       1       9       4       5       8       8       4       
Vardenis97          Pavardenis97        3       4       6       3       3       7       4       1       8       5       8       
Vardenis98          Pavardenis98        2       5       7       4       9       2       7       3       4       2       2       
Vardenis99          Pavardenis99        4       9       5       2       7       5       7       6       7       1       2       
Vardenis100         Pavardenis100       2       3       1       9       7       9       7       4       9       5       9       
Vardenis101         Pavardenis101       4       6       4       7       3       9       9       2       6       7       2       
Vardenis102         Pavardenis102       1       10      9       7       6       1       6       7       3       1       8       
Vardenis103         Pavardenis103       6       1       5       2       6       3       8       9       2       10      10      
Vardenis104         Pavardenis104       5       7       10      4       7       8       4       3       9       2       5       
Vardenis105         Pavardenis105       6       3       10      5       9       9       10      5       2       8       9       
Vardenis106         Pavardenis106       9       2       10      7       6       9       6       1       4       10      1       
Vardenis107         Pavardenis107       10      8       2       3       4       5       5       5       1       9       7       
Vardenis108         Pavardenis108       8       4       9       7       10      8       8       7       3       7       6       
Vardenis109         Pavardenis109       1       1       3       6       7       9       9       2       2       2       2       
Vardenis110         Pavardenis110       10      9       2       8       7       2       10      8       3       6       10      
Vardenis111         Pavardenis111       8       5       3       2       8       3       8       7       7       1       1       
Vardenis112         Pavardenis112       5       2       2       5       4       5       8       6       3       6       7       
Vardenis113         Pavardenis113       5       9       5       3       7       4       10      4       5       6       9       
Vardenis114         Pavardenis114       4       4       1       2       9       3       4       5       2       7       9       
Vardenis115         Pavardenis115       4       4       3       9       5       9       1       4       5       6       6       
Vardenis116         Pavardenis116       1       1       1       2       1       10      1       2       3       4       6       
Vardenis117         Pavardenis117       10      9       3       2       2       1       8       4       3       3       6       
Vardenis118         Pavardenis118       7       7       8       5       4       3       7       6       2       1       1       
Vardenis119         Pavardenis119       8       6       6       1       8       7       3       7       8       2       5       
Vardenis120         Pavardenis120       6       5       6       1       3       6       10      8       1       7       8       
Vardenis121         Pavardenis121       1       2       10      3       1       7       10      5       2       10      3       
Vardenis122         Pavardenis122       3       5       1       1       10      8       10      6       5       10      3       
Vardenis123         Pavardenis123       8       2       3       8       7       10      8       9       1       5       3       
Vardenis124         Pavardenis124       6       6       6       3       6       2       1       4       3       6       7       
Vardenis125         Pavardenis125       8       6       8       6       9       4       1       9       9       9       1       
Vardenis126         Pavardenis126       1       2       4       8       2       5       1       10      7       3       1       
Vardenis127         Pavardenis127       4       4       10      5       6       5       5       5       2       2       7       
Vardenis128         Pavardenis128       3       6       2       4       3       9       9       4       6       5       1       
Vardenis129         Pavardenis129       9       3       6       1       7       8       3       3       3       2       9       
Vardenis130         Pavardenis130       6       6       4       1       6       8       3       8       10      10      1       
Vardenis131         Pavardenis131       8       7       3       1       7       1       3       6       8       5       3       
Vardenis132         Pavardenis132       9       7       6       8       9       10      5       1       10      8       9       
Vardenis133         Pavardenis133       9       1       6       4       8       9       6       5       5       5       5       
Vardenis134         Pavardenis134       2       6       10      7       8       2       1       6       8       2       3       
Vardenis135         Pavardenis135       4       4       4       7       6       3       4       4       4       4       9       
Vardenis136         Pavardenis136       3       2       4       4       5       6       9       4       4       6       3       
Vardenis137         Pavardenis137       4       6       1       6       5       2       4       8       10      10      9       
Vardenis138         Pavardenis138       6       9       6       7       3       4       3       9       5       5       4       
Vardenis139         Pavardenis139       8       5       5       2       4       6       8       5       7       8       1       
Vardenis140         Pavardenis140       3       8       8       6       3       4       8       2       10      6       10      
Vardenis141         Pavardenis141       1       8       9       9       2       4       6       10      9       10      1       
Vardenis142         Pavardenis142       7       5       10      6       3       9       1       7       1       3       5       
Vardenis143         Pavardenis143       3       7       4       2       3       1       2       1       8       2       1       
Vardenis144         Pavardenis144       2       8       3       3       3       5       6       2       4       6       1       
Vardenis145         Pavardenis145       7       7       1       7       2       2       2       8       6       9       5       
Vardenis146         Pavardenis146       7       7       8       8       3       7       4       3       3       7       6       
Vardenis147         Pavardenis147       2       7       8       4       6       10      3       5       3       3       7       
Vardenis148         Pavardenis148       10      1       3       7       8       8       5       6       8       3       1       
Vardenis149         Pavardenis149       7       10      10      7       5       3       3       6       2       10      8       
Vardenis150         Pavardenis150       5       8       5       8       2       4       7       1       4       10      8       
Vardenis151         Pavardenis151       5       1       5       8       6       4       6       10      7       6       4       
Vardenis152         Pavardenis152       6       4       1       7       6       6       7       1       9       5       5       
Vardenis153         Pavardenis153       9       7       4       5       5       8       7       3       8       5       1       
Vardenis154         Pavardenis154       5       4       8       7       9       5       9       5       1       4       4       
Vardenis155         Pavardenis155       8       4       5       4       9       9       7       7       9       2       10      
Vardenis156         Pavardenis156       9       9       8       6       10      2       4       6       10      5       2       
Vardenis157         Pavardenis157       8       6       4       6       9       2       9       10      1       3       3       
Vardenis158         Pavardenis158       9       3       2       10      7       9       7       1       5       2       7       
Vardenis159         Pavardenis159       2       5       7       7       1       6       10      8       4       5       6       
Vardenis160         Pavardenis160       5       6       2       9       9       10      5       1       5       7       4       
Vardenis161         Pavardenis161       5       1       4       1       5       7       5       5       9       1       3       
Vardenis162         Pavardenis162       3       1       8       1       6       3       6       5       1       4       7       
Vardenis163         Pavardenis163       9       8       3       2       3       7       4       6       7       6       7       
Vardenis164         Pavardenis164       10      5       6       6       9       9       6       4       3       4       1       
Vardenis165         Pavardenis165       1       8       5       10      7       2       2       9       7       6       7       
Vardenis166         Pavardenis166       7       5       10      5       7       9       2       3       5       6       10      
Vardenis167         Pavardenis167       10      5       9       8       6       5       7       4       4       1       7       
Vardenis168         Pavardenis168       9       8       10      7       9       7       9       5       3       6       3       
Vardenis169         Pavardenis169       1       3       9       7       8       6       8       10      4       6       2       
Vardenis170         Pavardenis170       8       2       2       5       4       8       1       1       8       10      3       
Vardenis171         Pavardenis171       3       8       5       7       5       7       1       1       3       8       5       
Vardenis172         Pavardenis172       5       1       6       4       5       9       4       8       3       10      1       
Vardenis173         Pavardenis173       10      5       2       4       4       3       6       10      4       6       4       
Vardenis174         Pavardenis174       10      8       8       6       10      3       8       6       3       3       9       
Vardenis175         Pavardenis175       9       9       2       7       9       10      7       10      7       5       5       
Vardenis176         Pavardenis176       2       8       2       7       5       4       8       7       9       10      4       
Vardenis177         Pavardenis177       8       5       3       1       9       10      5       3       7       9       2       
Vardenis178         Pavardenis178       2       6       6       3       8       9       3       3       9       9       2       
Vardenis179         Pavardenis179       7       4       6       10      4       5       1       10      4       6       7       
Vardenis180         Pavardenis180       10      1       6       4       9       8       3       4       4       2       8       
Vardenis181         Pavardenis181       8       10      1       6       4       2       9       10      10      1       1       
Vardenis182         Pavardenis182       5       1       3       7       9       10      9       9       6       9       7       
Vardenis183         Pavardenis183       5       8       7       5       4       5       8       8       8       6       3       
Vardenis184         Pavardenis184       4       6       9       7       5       1       4       9       5       9       5       
Vardenis185         Pavardenis185       1       7       3       7       8       2       2       4       10      7       6       
Vardenis186         Pavardenis186       9       6       3       3       3       2       7       3       4       4       10      
Vardenis187         Pavardenis187       9       2       7       7       8       2       6       4       6       5       8       
Vardenis188         Pavardenis188       9       1       1       4       7       5       8       7       6       9       10      
Vardenis189         Pavardenis189       10      10      10      1       3       10      6       9       3       10      7       
Vardenis190         Pavardenis190       6       6       10      6       5       8       4       9       10      4       1       
Vardenis191         Pavardenis191       5       8       4       5       5       10      6       6       5       4       5       
Vardenis192         Pavardenis192       10      5       7       3       9       6       4       5       5       1       9       
Vardenis193         Pavardenis193       5       10      2       9       10      2       5       8       7       3       7       
Vardenis194         Pavardenis194       5       9       3       8       10      2       10      10      7       4       9       
Vardenis195         Pavardenis195       7       7       4       4       8       1       4       2       6       2       6       
Vardenis196         Pavardenis196       8       9       3       10      9       2       10      9       3       8       10      
Vardenis197         Pavardenis197       2       10      9       3       3       6       9       2       1       2       9       
Vardenis198         Pavardenis198       9       5       6       5       8       8       3       1       6       9       5       
Vardenis199         Pavardenis199       10      7       6       1       8       7       3       6       7       8       1       
Vardenis200         Pavardenis200       6       2       10      4       7       5       6       3       7       6       3       
Vardenis201         Pavardenis201       7       5       7       2       5       2       1       7       4       9       10      
Vardenis202         Pavardenis202       8       6       10      6       7       2       9       1       6       6       5       
Vardenis203         Pavardenis203       10      10      1       7       9       2       1       10      7       9       2       
Vardenis204         Pavardenis204       3       1       10      5       1       1       1       5       8       1       9       
Vardenis205         Pavardenis205       6       2       2       6       6       6       3       10      10      8       4       
Vardenis206         Pavardenis206       3       10      4       6       2       5       8       9       10      7       3       
Vardenis207         Pavardenis207       6       5       2       9       5       1       8       7       2       2       8       
Vardenis208         Pavardenis208       10      1       9       10      9       7       3       8       5       5       5       
Vardenis209         Pavardenis209       8       1       1       2       2       9       7       1       4       4       5       
Vardenis210         Pavardenis210       4       9       7       6       2       7       6       4       1       6       9       
Vardenis211         Pavardenis211       4       10      2       10      7       2       6       2       2       5       7       
Vardenis212         Pavardenis212       4       9       1       8       8       7       3       5       10      7       7       
Vardenis213         Pavardenis213       8       4       5       7       2       3       6       7       7       5       2       
Vardenis214         Pavardenis214       3       6       10      10      9       9       10      7       10      4       1       
Vardenis215         Pavardenis215       3       10      2       9       10      10      4       5       7       2       8       
Vardenis216         Pavardenis216       9       5       8       1       4       7       4       9       6       8       2       
Vardenis217         Pavardenis217       2       4       2       9       3       3       5       6       5       7       8       
Vardenis218         Pavardenis218       5       8       2       1       2       7       1       4       2       6       6       
Vardenis219         Pavardenis219       3       5       9       6       2       6       2       2       10      8       8       
Vardenis220         Pavardenis220       3       4       2       8       2       6       6       3       1       2       3       
Vardenis221         Pavardenis221       1       10      1       4       4       10      8       8       2       5       10      
Vardenis222         Pavardenis222       6       2       4       10      3       8       6       9       5       2       2       
Vardenis223         Pavardenis223       7       5       2       5       3       5       6       9       10      3       10      
Vardenis224         Pavardenis224       1       3       7       8       6       4       8       8       4       5       3       
Vardenis225         Pavardenis225       2       10      4       6       9       8       9       6       9       4       6       
Vardenis226         Pavardenis226       5       3       2       4       7       10      9       9       9       10      7       
Vardenis227         Pavardenis227       4       2       5       3       4       3       6       1       6       4       7       
Vardenis228         Pavardenis228       6       9       10      9       10      1       6       3       4       8       6       
Vardenis229         Pavardenis229       7       8       10      3       5       7       8       6       6       3       5       
Vardenis230         Pavardenis230       3       2       7       4       6       10      5       6       9       9       8       
Vardenis231         Pavardenis231       9       1       6       5       1       6       5       3       5       9       4       
Vardenis232         Pavardenis232       1       10      6       9       3       6       3       6       3       3       10      
Vardenis233         Pavardenis233       8       10      5       3       7       7       3       2       5       3       5       
Vardenis234         Pavardenis234       9       4       2       2       6       8       10      4       4       9       3       
Vardenis235         Pavardenis235       10      8       7       6       10      2       7       1       7       5       3       
Vardenis236         Pavardenis236       8       10      8       5       8       10      5       8       10      2       2       
Vardenis237         Pavardenis237       6       1       1       2       4       7       3       8       2       9       7       
Vardenis238         Pavardenis238       2       1       3       5       6       9       4       1       6       7       6       
Vardenis239         Pavardenis239       4       8       9       8       3       9       6       1       7       6       10      
Vardenis240         Pavardenis240       8       8       4       9       2       8       4       8       7       7       3       
Vardenis241         Pavardenis241       8       4       7       1       1       10      4       5       6       9       4       
Vardenis242         Pavardenis242       5       3       3       1       9       8       2       3       9       10      1       
Vardenis243         Pavardenis243       8       6       10      9       6       10      4       1       5       9       2       
Vardenis244         Pavardenis244       9       1       2       1       8       7       9       10      5       4       3       
Vardenis245         Pavardenis245       8       2       9       2       2       7       3       5       6       10      9       
Vardenis246         Pavardenis246       6       2       1       2       3       10      10      3       2       4       8       
Vardenis247         Pavardenis247       8       6       10      2       3       1       2       6       10      6       10      
Vardenis248         Pavardenis248       4       7       8       2       8       2       4       10      1       8       7       
Vardenis249         Pavardenis249       7       9       7       2       2       5       6       7       4       8       3       
Vardenis250         Pavardenis250       1       7       4       7       6       3       1       6       1       2       8       
Vardenis251         Pavardenis251       4       1       10      4       2       6       2       8       7       2       6       
Vardenis252         Pavardenis252       9       6       1       2       8       5       1       2       4       5       4       
Vardenis253         Pavardenis253       6       5       1       10      9       8       3       8       10      4       6       
Vardenis254         Pavardenis254       4       2       6       2       9       4       5       1       10      3       5       
Vardenis255         Pavardenis255       1       1       4       5       7       3       2       2       7       7       8       
Vardenis256         Pavardenis256       7       4       4       5       1       1       4       3       2       9       10      
Vardenis257         Pavardenis257       4       6       4       7       5       10      3       5       8       7       2       
Vardenis258         Pavardenis258       5       3       4       9       6       1       6       6       5       3       1       
Vardenis259         Pavardenis259       4       5       9       7       2       10      3       2       2       8       3       
Vardenis260         Pavardenis260       6       4       2       9       5       4       3       1       10      2       1       
Vardenis261         Pavardenis261       1       9       7       4       9       8       2       3       6       5       4       
Vardenis262         Pavardenis262       1       1       8       8       9       9       2       5       3       9       3       
Vardenis263         Pavardenis263       5       7       5       5       5       7       8       3       7       10      8       
Vardenis264         Pavardenis264       4       8       7       9       7       2       2       9       5       8       10      
Vardenis265         Pavardenis265       9       8       4       5       5       10      2       3       3       3       8       
Vardenis266         Pavardenis266       9       1       7       6       8       7       5       6       3       2       3       
Vardenis267         Pavardenis267       8       6       10      7       4       2       5       2       5       7       7       
Vardenis268         Pavardenis268       6       10      2       6       8       9       4       8       6       7       3       
Vardenis269         Pavardenis269       2       9       6       3       10      1       6       8       5       7       6       
Vardenis270         Pavardenis270       4       2       8       1       9       7       4       2       1       10      2       
Vardenis271         Pavardenis271       1       10      9       5       5       3       8       7       8       5       6       
Vardenis272         Pavardenis272       5       1       1       9       4       4       9       5       3       6       7       
Vardenis273         Pavardenis273       5       5       1       3       8       9       2       6       10      3       5       
Vardenis274         Pavardenis274       3       1       6       6       7       9       4       4       7       4       4       
Vardenis275         Pavardenis275       2       10      7       1       7       5       10      4       5       6       7       
Vardenis276         Pavardenis276       7       7       4       1       8       10      7       6       1       5       9       
Vardenis277         Pavardenis277       9       9       3       8       7       4       3       8       2       2       1       
Vardenis278         Pavardenis278       6       8       1       5       3       2       6       10      2       2       4       
Vardenis279         Pavardenis279       2       2       8       1       8       1       9       2       6       9       7       
Vardenis280         Pavardenis280       10      6       2       4       9       10      5       9       5       7       8       
Vardenis281         Pavardenis281       1       5       7       3       1       10      1       3       7       2       8       
Vardenis282         Pavardenis282       8       2       6       9       7       5       7       1       8       6       10      
Vardenis283         Pavardenis283       2       10      7       5       3       5       3       2       3       1       5       
Vardenis284         Pavardenis284       3       9       4       2       6       5       2       9       10      4       1       
Vardenis285         Pavardenis285       5       6       5       3       8       8       1       9       10      5       6       
Vardenis286         Pavardenis286       4       2       1       10      8       5       1       1       1       7       3       
Vardenis287         Pavardenis287       1       1       5       8       4       5       4       10      2       10      7       
Vardenis288         Pavardenis288       9       6       3       8       3       9       2       5       1       7       8       
Vardenis289         Pavardenis289       6       5       2       8       9       2       3       3       10      7       4       
Vardenis290         Pavardenis290       5       4       3       5       1       7       8       1       1       5       8       
Vardenis291         Pavardenis291       1       6       5       3       4       10      9       1       8       8       1       
Vardenis292         Pavardenis292       9       6       3       5       10      4       6       8       6       7       8       
Vardenis293         Pavardenis293       7       3       2       1       6       6       1       2       10      5       9       
Vardenis294         Pavardenis294       3       10      2       6       7       8       1       2       7       10      2       
Vardenis295         Pavardenis295       2       7       3       9       10      8       4       3       3       6       4       
Vardenis296         Pavardenis296       10      8       9       5       1       7       4       9       8       5       3       
Vardenis297         Pavardenis297       5       8       2       2       6       1       8       6       3       6       4       
Vardenis298         Pavardenis298       10      5       4       6       5       3       6       1       10      9       10      
Vardenis299         Pavardenis299       4       2       8       9       6       10      7       2       2       10      7       
Vardenis300         Pavardenis300       4       3       2       1       10      4       1       7       7       1       8       
Vardenis301         Pavardenis301       3       7       5       2       7       9       9       3       8       6       9       
Vardenis302         Pavardenis302       9       7       4       3       5       10      9       8       5       8       1       
Vardenis303         Pavardenis303       10      1       9       10      5       3       8       10      5       5       5       
Vardenis304         Pavardenis304       4       8       10      1       4       3       4       4       9       6       4       
Vardenis305         Pavardenis305       9       10      5       9       10      2       3       3       9       3       4       
Vardenis306         Pavardenis306       6       3       8       4       1       5       5       3       5       4       2       
Vardenis307         Pavardenis307       10      2       9       2       8       3       3       7       5       3       6       
Vardenis308         Pavardenis308       9       2       5       8       3       9       8       8       10      4       5       
Vardenis309         Pavardenis309       3       6       2       9       4       3       4       9       2       5       8       
Vardenis310         Pavardenis310       1       9       8       8       3       8       6       1       2       1       4       
Vardenis311         Pavardenis311       9       4       2       4       7       10      5       10      9       1       2       
Vardenis312         Pavardenis312       6       8       6       10      5       7       6       7       9       5       5       
Vardenis313         Pavardenis313       2       5       4       1       7       8       10      4       7       2       6       
Vardenis314         Pavardenis314       6       1       2       1       10      5       1       9       5       3       7       
Vardenis315         Pavardenis315       3       10      3       4       5       1       9       1       8       6       6       
Vardenis316         Pavardenis316       4       1       7       1       6       4       1       2       10      7       10      
Vardenis317         Pavardenis317       8       7       5       5       8       9       7       5       8       1       2       
Vardenis318         Pavardenis318       6       9       4       6       8       10      6       9       7       4       10      
Vardenis319         Pavardenis319       10      9       1       5       2       3       4       6       9       10      8       
Vardenis320         Pavardenis320       5       3       9       9       8       1       4       7       1       7       9       
Vardenis321         Pavardenis321       2       4       5       7       8       3       9       3       10      8       2       
Vardenis322         Pavardenis322       8       1       1       1       4       9       10      3       10      2       1       
Vardenis323         Pavardenis323       8       5       10      10      4       3       7       7       9       5       2       
Vardenis324         Pavardenis324       1       10      3       7       8       1       4       9       3       5       7       
Vardenis325         Pavardenis325       4       6       6       1       9       7       3       1       2       9       6       
Vardenis326         Pavardenis326       4       6       3       6       6       1       5       8       9       5       5       
Vardenis327         Pavardenis327       10      9       6       7       2       3       7       6       8       3       10      
Vardenis328         Pavardenis328       6       8       8       7       7       1       3       3       5       6       2       
Vardenis329         Pavardenis329       7       9       1       4       7       2       6       2       5       2       3       
Vardenis330         Pavardenis330       1       3       10      5       3       4       5       7       6       5       7       
Vardenis331         Pavardenis331       7       3       6       8       8       10      5       2       4       10      5       
Vardenis332         Pavardenis332       5       9       5       8       6       8       2       9       5       10      4       
Vardenis333         Pavardenis333       7       3       5       4       8       6       2       10      2       4       5       
Vardenis334         Pavardenis334       4       2       1       3       10      2       9       5       7       5       4       
Vardenis335         Pavardenis335       5       6       8       7       5       9       5       8       2       7       1       
Vardenis336         Pavardenis336       5       1       3       1       1       4       1       5       4       3       10      
Vardenis337         Pavardenis337       10      1       2       2       4       10      2       7       6       4       5       
Vardenis338         Pavardenis338       10      5       2       1       4       5       7       7       10      1       6       
Vardenis339         Pavardenis339       1       5       8       9       4       3       8       1       9       2       10      
Vardenis340         Pavardenis340       4       2       9       7       1       10      9       2       1       3       1       
Vardenis341         Pavardenis341       9       1       2       6       7       3       2       10      1       4       6       
Vardenis342         Pavardenis342       4       10      5       1       2       3       3       8       3       2       7       
Vardenis343         Pavardenis343       9       6       5       10      2       2       6       10      3       10      8       
Vardenis344         Pavardenis344       2       5       8       1       5       5       8       5       1       7       3       
Vardenis345         Pavardenis345       7       7       10      10      6       7       1       1       8       9       7       
Vardenis346         Pavardenis346       1       10      3       9       8       10      9       4       10      6       6       
